dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,close_return_quantile_1_1day,close_return_quantile_1_1day,Continuous predicted 1-day forward close-to-close return from the earnings calendar CNN prediction model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,calendar chart close close_return_quantile_1_1day cnn continuous day deep earnings earnings_chart_dl forward from fundamental learning model possible_direction predicted prediction predictions return
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,high_return_quantile_1_1day,high_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted high-to-high 1-day return.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,assignment based chart day deep earnings earnings_chart_dl fundamental high high_return_quantile_1_1day learning possible_direction predicted predictions quantile return stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,likelihood_quantile_5_group_0_50day_return,likelihood_quantile_5_group_0_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 0 (0-based) out of 5 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,50 based belonging buckets calendar chart confidence date day deep earnings earnings_chart_dl forward fundamental learning likelihood_quantile_5_group_0_50day_return log out possible_direction prediction predictions probability quantile softmax stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,likelihood_quantile_5_group_2_50day_return,likelihood_quantile_5_group_2_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 2 (0-based) out of 5 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,50 based belonging buckets calendar chart confidence date day deep earnings earnings_chart_dl forward fundamental learning likelihood_quantile_5_group_2_50day_return log out possible_direction prediction predictions probability quantile softmax stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,low_return_quantile_1_1day,low_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted low-to-low 1-day return.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,assignment based chart day deep earnings earnings_chart_dl fundamental learning low low_return_quantile_1_1day possible_direction predicted predictions quantile return stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,open_return_quantile_1_1day,open_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted open-to-open 1-day return.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,assignment based chart day deep earnings earnings_chart_dl fundamental learning open open_return_quantile_1_1day possible_direction predicted predictions quantile return stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,prob_quantile_2_bucket_0_10day_return,prob_quantile_2_bucket_0_10day_return,Log-probability (log-softmax confidence) that the stock-date belongs to the bottom half quantile (index 0) in a 2-way return quantile split at 10-day forward horizon,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,10 at belongs bottom chart confidence date day deep earnings earnings_chart_dl forward fundamental half horizon index learning log possible_direction predictions prob_quantile_2_bucket_0_10day_return probability quantile return softmax split stock that way
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,prob_quantile_2_bucket_0_20day_return,prob_quantile_2_bucket_0_20day_return,Log-probability that the stock-date belongs to the lower half (quantile 0) in a 2-quantile forward return prediction at 20-day horizon,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,20 at belongs chart date day deep earnings earnings_chart_dl forward fundamental half horizon learning log lower possible_direction prediction predictions prob_quantile_2_bucket_0_20day_return probability quantile return stock that
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,prob_quantile_2_bucket_0_50day_return,prob_quantile_2_bucket_0_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 0 (0-based) out of 2 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,50 based belonging buckets calendar chart confidence date day deep earnings earnings_chart_dl forward fundamental learning log out possible_direction prediction predictions prob_quantile_2_bucket_0_50day_return probability quantile softmax stock
earnings_chart_dl,Deep Learning Earnings Chart Predictions,Earnings,prob_quantile_2_bucket_0_5day_return,prob_quantile_2_bucket_0_5day_return,Log-probability (log-softmax) confidence that the stock is in the 0th quantile bucket (lowest half) for 2-way quantile split of 5-day forward return prediction,MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,0th bucket chart confidence day deep earnings earnings_chart_dl forward fundamental half is learning log lowest possible_direction prediction predictions prob_quantile_2_bucket_0_5day_return probability quantile return softmax split stock that way
