resource_id,path,resource_type,source_type,evidence_level,region,delay,universe,purpose,status,sha256
workflow_forum_skill_review,reviews/WQ_AI_WORKFLOW_FORUM_AND_SKILL_REVIEW_20260716.md,workflow_review,forum_and_local_audit,FORUM_EXPERIENCE,,,,AI collaboration and template workflow context,REVIEW_ONLY,5185302FD55D8BC48B437ACDCB80C5B3AF5B4C111DB692EF602BD1B054D9F7E4
consultant_system_upgrade,audits/consultant_system_upgrade_audit.md,consultant_audit,local_and_live_audit,LIVE_ACCOUNT,,,,Current consultant transport and safety design,REVIEW_ONLY,C7E3988E3905477BEF3425C853DCB4B68550AE193CD2AC6F5B472655A784F486
consultant_gap_review,audits/WQ_CONSULTANT_GENIUS_BACKTEST_FRAMEWORK_GAP_REVIEW_20260716.md,consultant_gap_audit,official_forum_live_local_mixed,MIXED_LABELED,,,,Consultant and Genius capability gaps,REVIEW_ONLY,156518D9A7D256483776363F29EAAACBD82E709DB2C939571D24618E436B9153
consultant_phase_plan,audits/consultant_upgrade_phase_plan.csv,implementation_plan,local_validation,LOCAL_BACKTEST_EVIDENCE,,,,Consultant implementation status and evidence,REVIEW_ONLY,D68F3CD356CFFED8FE04A7AA32C9AC6D84D609E441CC394B56B6ED2A49849472
power_pool_usa_d1_top1000,research_packs/incoming/GPT_POWER_POOL_USA_D1_TOP1000_UPLOAD_20260716.zip,research_package,user_and_local_package,USER_PROVIDED,USA,1,TOP1000,Power Pool bounded GPT context,REVIEW_ONLY,6BF0D3AC53219D220715F4CDB77CF73A9701B1088BEF9F609ADC6D2688332E8F
factor_context_current,context/gpt_factor_context_current.md,gpt_context,local_generated_context,OFFICIAL_API_DERIVED,USA,1,TOP3000,Current factor context and field families,REVIEW_ONLY,64CBB85B9073E0114D13343ED2F83EC2A8CBB1D6B80EF6E2F7127E5238A7A3E8
consultant_profile,context/consultant_capability_profile.json,capability_profile,user_confirmed_and_runtime_probe,USER_CONFIRMED_NEEDS_RUNTIME_PROBE,,,,Consultant transport profile; runtime must still fail closed,REVIEW_ONLY,AC7ECD8C7C2042376820040417BBEB576ED65371054031A93F454C17F2B7FC65
consultant_implementation,context/consultant_multi_8x10_implementation_report.md,implementation_report,local_validation,LOCAL_BACKTEST_EVIDENCE,,,,Consultant multi implementation context and limitations,REVIEW_ONLY,6FFCA3BFA96CEEB1DE952A7F54DACF7E3416D003E782B6BAF63501E06E0A86BE
material_queue_workflow,workflows/MATERIAL_RESEARCH_QUEUE_WORKFLOW.md,workflow_contract,local_documentation,LOCAL_POLICY,,,,Legacy material-to-research queue workflow reference,REVIEW_ONLY,610525666F695BF2D06DF7FF6E0081F037C24970CD959F4A19FC6D8B0F7A70E4
research_pack_assets,workflows/FULL_RESEARCH_PACK_P0_ASSETS_20260716.md,research_pack_contract,local_validation,LOCAL_POLICY,,,,Required full research-pack assets and gates,REVIEW_ONLY,2902E376C22D9F714669F09BDD3C8D0B162B57E27A495F4B2C7CC87DE4574BF8
research_pack_validation,workflows/FULL_RESEARCH_PACK_VALIDATION_20260713.md,validation_report,local_validation,LOCAL_BACKTEST_EVIDENCE,,,,Example research-pack validation evidence,REVIEW_ONLY,A76AAF50F44160A1D568E4EDAACDF9E9CA07DEB17F9E47DDEAB3850282C8386F
forum_template_library,templates/WQ_FORUM_TEMPLATES_20260716.md,template_library,forum_distillation,FORUM_EXPERIENCE,,,,Reviewed template families requiring field and operator resolution,REVIEW_ONLY,588C73CA40A0FAD3972AF4243B603DDF77993642453E6FD7000F574962B27BE3
field_cleanup_implementation,audits/FOLDER_CLEANUP_AND_DATA_FIELDS_IMPLEMENTATION_20260716.md,data_field_audit,local_audit,LOCAL_BACKTEST_EVIDENCE,USA,1,TOP3000,Field refresh history and old-snapshot limitations,REVIEW_ONLY,7CFE25C1920FB9E10E5B0EA95650A7DD80791FFC084F870F58B911CFA9E0E8F4
field_context_bundle,research_packs/reference/GPT_FIELD_CONTEXT_UPLOAD_20260716.zip,gpt_context_bundle,official_api_derived,OFFICIAL_API_DERIVED,USA,1,TOP3000,Portable 85612-field context bundle; all-scope index is newer for scope selection,REFERENCE_ONLY,CCFFE1536BBF00942014BB156948FEB43A6E28D6B2208F9F6CAF320E89084A95
multi_region_probe_bundle,research_packs/reference/GPT_MULTI_REGION_PROBE_UPLOAD_20260716.zip,gpt_probe_bundle,official_api_derived,OFFICIAL_API_DERIVED,MIXED,,,Seven-dataset probe context plus PV1 exclusion example,REFERENCE_ONLY,585AA2D8C256AADCBD8A637DD42BA1EEE71364B2506ADC8DB2C14E3C74F493BB
codex_gpt_workflow,workflows/CODEX_GPT_COLLABORATION_WORKFLOW.md,workflow_contract,user_policy,LOCAL_POLICY,,,,Canonical five-stage Codex and GPT collaboration contract,ACTIVE,7130195BFDF92876446C81196AD6FDE35C27459EEB600C359ECAD7B7AC4CD6AE
