dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,advertisement_mention_mad,advertisement_mention_mad,Mean absolute deviation of advertisement-related topic mentions in the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,absolute advertisement advertisement_mention_mad deviation mean mentions mmp_nlp_sentiment multilingual news nlp other possible_direction related sentiment set signals topic
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,advertisement_mention_total,advertisement_mention_total,Total number of advertisement-related mentions in the analyzed news articles.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,advertisement advertisement_mention_total analyzed articles mentions mmp_nlp_sentiment multilingual news nlp number other possible_direction related sentiment signals total
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_negative_sentiment_count,afinn_negative_sentiment_count,Number of articles with negative sentiment according to the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,according afinn afinn_negative_sentiment_count articles lexicon mmp_nlp_sentiment multilingual negative news nlp number other possible_direction sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_negative_sentiment_count_2,afinn_negative_sentiment_count_2,Count of text segments with negative sentiment according to the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,according afinn afinn_negative_sentiment_count_2 count lexicon mmp_nlp_sentiment multilingual negative news nlp other possible_direction segments sentiment signals text
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_negative_sentiment_count_3,afinn_negative_sentiment_count_3,Count of negative sentiment words according to the AFINN lexicon in the article.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,according afinn afinn_negative_sentiment_count_3 article count lexicon mmp_nlp_sentiment multilingual negative news nlp other possible_direction sentiment signals words
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_negative_word_count,afinn_negative_word_count,Count of negative words in article body using the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,afinn afinn_negative_word_count article body count lexicon mmp_nlp_sentiment multilingual negative news nlp other possible_direction sentiment signals unknown using words
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_positive_sentiment_count,afinn_positive_sentiment_count,Count of positive sentiment words as measured by the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,afinn afinn_positive_sentiment_count as by count lexicon measured mmp_nlp_sentiment multilingual news nlp other positive possible_direction sentiment signals words
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_positive_sentiment_count_benzinga,afinn_positive_sentiment_count_benzinga,Count of Benzinga news articles with positive sentiment according to the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,according afinn afinn_positive_sentiment_count_benzinga articles benzinga count lexicon mmp_nlp_sentiment multilingual news nlp other positive possible_direction sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_positive_word_count,afinn_positive_word_count,The count of positive words identified using the AFINN sentiment lexicon across all articles.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across afinn afinn_positive_word_count all articles count identified lexicon mmp_nlp_sentiment multilingual news nlp other positive possible_direction sentiment signals using words
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_positive_word_count_2,afinn_positive_word_count_2,Number of words in the article body with positive sentiment according to the AFINN lexicon.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,according afinn afinn_positive_word_count_2 article body lexicon mmp_nlp_sentiment multilingual news nlp number other positive possible_direction sentiment signals words
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_mad,afinn_sentiment_mad,Median absolute deviation of sentiment scores from the AFINN lexicon.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=sentiment,absolute afinn afinn_sentiment_mad deviation from lexicon median mmp_nlp_sentiment multilingual news nlp other possible_direction scores sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_mad_value,afinn_sentiment_mad_value,Median absolute deviation of sentiment scores computed using the AFINN lexicon.,MATRIX,USA,TOP3000,1,0.9837,,,2026-07-16T15:20:39,possible_direction=sentiment,absolute afinn afinn_sentiment_mad_value computed deviation lexicon median mmp_nlp_sentiment multilingual news nlp other possible_direction scores sentiment signals using
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_maximum,afinn_sentiment_maximum,Maximum sentiment score assigned by the AFINN lexicon for the article body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=sentiment,afinn afinn_sentiment_maximum article assigned body by lexicon maximum mmp_nlp_sentiment multilingual news nlp other possible_direction score sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_score_mad,afinn_sentiment_score_mad,Median absolute deviation of AFINN sentiment scores for the article body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=sentiment,absolute afinn afinn_sentiment_score_mad article body deviation median mmp_nlp_sentiment multilingual news nlp other possible_direction scores sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_score_median,afinn_sentiment_score_median,Median value of sentiment scores calculated using the AFINN lexicon for the news body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=sentiment,afinn afinn_sentiment_score_median body calculated lexicon median mmp_nlp_sentiment multilingual news nlp other possible_direction scores sentiment signals using value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_score_minimum,afinn_sentiment_score_minimum,Minimum sentiment score calculated using the AFINN lexicon for the article.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=sentiment,afinn afinn_sentiment_score_minimum article calculated lexicon minimum mmp_nlp_sentiment multilingual news nlp other possible_direction score sentiment signals using
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,afinn_sentiment_score_total,afinn_sentiment_score_total,Total sum of sentiment scores calculated using the AFINN lexicon for the article.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,afinn afinn_sentiment_score_total article calculated lexicon mmp_nlp_sentiment multilingual news nlp other possible_direction scores sentiment signals sum total using
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,aggregate_avg_character_count,aggregate_avg_character_count,Sum of average character counts across all news items in the dataset.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across aggregate_avg_character_count all average character counts dataset items mmp_nlp_sentiment multilingual news nlp other possible_direction sentiment signals sum
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,analyst_reference_count_sum,analyst_reference_count_sum,Total count of analyst-related references across all news articles in the period.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,across all analyst analyst_reference_count_sum articles count mmp_nlp_sentiment multilingual news nlp other period possible_direction references related sentiment signals total
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,article_count_benzinga_standard,article_count_benzinga_standard,Total number of news articles processed in the standard Benzinga module.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,article_count_benzinga_standard articles benzinga mmp_nlp_sentiment module multilingual news nlp number other possible_direction processed sentiment signals standard total
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_analyst_reference_count,average_analyst_reference_count,Average number of analyst-related references across all news articles.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=analyst,across all analyst articles average average_analyst_reference_count mmp_nlp_sentiment multilingual news nlp number other possible_direction references related sentiment signals
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_bearish_mention_score,average_bearish_mention_score,Average score for bearish topic mentions across the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_bearish_mention_score bearish mentions mmp_nlp_sentiment multilingual news nlp other possible_direction score sentiment set signals topic
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_character_count_maximum,average_character_count_maximum,Maximum value of average character count per text segment.,MATRIX,USA,TOP3000,1,0.9837,,,2026-07-16T15:20:39,possible_direction=unknown,average average_character_count_maximum character count maximum mmp_nlp_sentiment multilingual news nlp other per possible_direction segment sentiment signals text unknown value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_character_count_maximum_2,average_character_count_maximum_2,Maximum value of average character count per article body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=unknown,article average average_character_count_maximum_2 body character count maximum mmp_nlp_sentiment multilingual news nlp other per possible_direction sentiment signals unknown value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_character_count_median,average_character_count_median,Median value of the average character count per segment in the article body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=unknown,article average average_character_count_median body character count median mmp_nlp_sentiment multilingual news nlp other per possible_direction segment sentiment signals unknown value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_character_count_minimum,average_character_count_minimum,Minimum average character count per segment in the article body.,MATRIX,USA,TOP3000,1,0.9791,,,2026-07-16T15:20:39,possible_direction=unknown,article average average_character_count_minimum body character count minimum mmp_nlp_sentiment multilingual news nlp other per possible_direction segment sentiment signals unknown
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_character_count_total,average_character_count_total,Sum of average character counts across all segments of the article body.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,across all article average average_character_count_total body character counts mmp_nlp_sentiment multilingual news nlp other possible_direction segments sentiment signals sum unknown
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_chatting_topic_score,average_chatting_topic_score,Average score for topics related to informal discussion or chatting in the news corpus.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,average average_chatting_topic_score chatting corpus discussion informal mmp_nlp_sentiment multilingual news nlp other possible_direction related score sentiment signals topics
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_earnings_mention_score,average_earnings_mention_score,Average score for earnings-related topic mentions in the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=fundamental,average average_earnings_mention_score earnings fundamental mentions mmp_nlp_sentiment multilingual news nlp other possible_direction related score sentiment set signals topic
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_important_topic_score,average_important_topic_score,Average score for topics marked as important in the news corpus.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,as average average_important_topic_score corpus important marked mmp_nlp_sentiment multilingual news nlp other possible_direction score sentiment signals topics
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_low_relevance_score,average_low_relevance_score,Mean value of low relevance scores assigned to news articles.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,articles assigned average_low_relevance_score low mean mmp_nlp_sentiment multilingual news nlp other possible_direction relevance scores sentiment signals value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_lower_price_target_mention,average_lower_price_target_mention,Average number of lower price target mentions across the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_lower_price_target_mention lower mentions mmp_nlp_sentiment multilingual news nlp number other possible_direction price sentiment set signals target
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_moving_average_topic_score,average_moving_average_topic_score,Average value of the moving average topic score across the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_moving_average_topic_score mmp_nlp_sentiment moving multilingual news nlp other possible_direction score sentiment set signals topic value
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_opinion_topic_score,average_opinion_topic_score,Average score for opinion-related topics in the news corpus.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,average average_opinion_topic_score corpus mmp_nlp_sentiment multilingual news nlp opinion other possible_direction related score sentiment signals topics
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_overweight_mention_score,average_overweight_mention_score,Average score for overweight topic mentions across the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_overweight_mention_score mentions mmp_nlp_sentiment multilingual news nlp other overweight possible_direction score sentiment set signals topic
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,average_raise_price_target_mention,average_raise_price_target_mention,Average number of raise price target mentions across the news set.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_raise_price_target_mention mentions mmp_nlp_sentiment multilingual news nlp number other possible_direction price raise sentiment set signals target
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,avg_advertisement_topic_score,avg_advertisement_topic_score,Average score for topics related to advertisements in the news.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,advertisements average avg_advertisement_topic_score mmp_nlp_sentiment multilingual news nlp other possible_direction related score sentiment signals topics
mmp_nlp_sentiment,Multilingual NLP News Sentiment Signals,Other,avg_bullish_topic_score,avg_bullish_topic_score,Average score for bullish topics in the news sample.,MATRIX,USA,TOP3000,1,0.9025,,,2026-07-16T15:20:39,possible_direction=sentiment,average avg_bullish_topic_score bullish mmp_nlp_sentiment multilingual news nlp other possible_direction sample score sentiment signals topics
