resource_id,scope_keys,dataset_ids,dataset_names,resource_type,title,author,published_at,source_url,local_path,sha256,raw_html_path,raw_html_sha256,attachment_parent_url,http_status,content_type,extraction_status,scraped_at
support.worldquantbrain.com-hc-en-us-community-posts-13127305672087-research-paper-small-minus-big-predicts-betting-agai,ASI_D1_TOP500;USA_D1_TOP1000,fundamental30;model51,Japan fundamental data by sectors;Systematic Risk Metrics,research,Research Paper: Small-Minus-Big Predicts Betting-Against-Beta: Implications for International Equity Allocation and Market Timing,"KA64574 March 16, 2023 04:21 Edited",2023-03-16T04:21:38Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13127305672087-Research-Paper-Small-Minus-Big-Predicts-Betting-Against-Beta-Implications-for-International-Equity-Allocation-and-Market-Timing,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-small-minus-big-predicts-betting-against-beta-implications-for-international-equity-allocation-and-market.md,C57638C72D259571679E208375AEAA35AD56D9D504BE98A0559BCCF4AE024BA2,materials/wq_dataset_catalog_20260717/raw/html/research-paper-small-minus-big-predicts-betting-against-beta-implications-for-international-equity-allocation-and-market.html,479B820E75AA5C8DADC914638527D1E3A0E175C62952B3A00B1AD584F7E7BAFD,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13220855355159-research-paper-currency-and-stock-returns-an-example,ASI_D1_TOP500;IND_D1_TOP500,analyst9;model106,Analyst Estimate Daily Data;Analysts rating model,research,Research Paper: Currency and Stock Returns: An Example of Market Inattention,"KA64574 March 20, 2023 04:40 Edited",2023-03-20T04:40:02Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13220855355159-Research-Paper-Currency-and-Stock-Returns-An-Example-of-Market-Inattention,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-currency-and-stock-returns-an-example-of-market-inattention-13220855355159-research-paper-currency-and-st.md,2779D4E25899F01D6B95BB32409B5D3D9A82BBDEF1A7B05BAC229187D674B929,materials/wq_dataset_catalog_20260717/raw/html/research-paper-currency-and-stock-returns-an-example-of-market-inattention-13220855355159-research-paper-currency-and-st.html,80DBC1653B86CD561FC390FB01A8A671D95E60050794E3C082182A2D4AD8D1F2,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13304175062807-research-paper-strategic-rebalancing,IND_D1_TOP500;USA_D1_TOP1000,model77,Analysts' Factor Model,research,Research Paper: Strategic Rebalancing,"KA64574 March 23, 2023 04:13 Edited",2023-03-23T04:13:37Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13304175062807-Research-Paper-Strategic-Rebalancing,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-strategic-rebalancing-13304175062807-research-paper-strategic-rebalancing.md,36B7668A0FFC5AE6D2A80C168B07F66C424A0C9695C45F39DE7DB3809920A5CB,materials/wq_dataset_catalog_20260717/raw/html/research-paper-strategic-rebalancing-13304175062807-research-paper-strategic-rebalancing.html,321E5DE30BF093E708569E64BC1C73E36398CA1F276DD79E499BAEF2275A46AE,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13384217318167-research-paper-dividend-capture-returns-anomaly-or-r,ASI_D1_TOP500;IND_D1_TOP500;USA_D1_TOP1000,analyst34;model106;option1,Analysts rating model;Dividend forecasts model;Options Volatility Surfaces Data,research,Research Paper: Dividend capture returns: anomaly or risk premium? Evidence from the equity Options markets,"NL41370 March 02, 2025 06:00 Edited",2025-03-02T06:00:51Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13384217318167-Research-Paper-Dividend-capture-returns-anomaly-or-risk-premium-Evidence-from-the-equity-Options-markets,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-dividend-capture-returns-anomaly-or-risk-premium-evidence-from-the-equity-options-markets-13384217318167-.md,2A952F5D5F24AFF800744622B5CEC816FDF15EF6B68D2B8B1F6FD725C670C3D5,materials/wq_dataset_catalog_20260717/raw/html/research-paper-dividend-capture-returns-anomaly-or-risk-premium-evidence-from-the-equity-options-markets-13384217318167-.html,3777A436E5C7415B8688BD65258EAA528CFA97B5B7DE9000E41EF002A9F93D63,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13474939304087-research-paper-the-unintended-impact-of-academic-res,ASI_D1_TOP500;IND_D1_TOP500;USA_D1_TOP1000,fundamental17,Direct Fundamental Data,research,Research Paper: The Unintended Impact of Academic Research on Asset Returns:.,"NL41370 March 16, 2025 06:00 Edited",2025-03-16T06:00:44Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13474939304087-Research-Paper-The-Unintended-Impact-of-Academic-Research-on-Asset-Returns,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-the-unintended-impact-of-academic-research-on-asset-returns-.-13474939304087-research-paper-the-unintende.md,EA7D2600E37952ED4D82E69343506D5277BFCD684E2B17C9B90ECE260D06B7AD,materials/wq_dataset_catalog_20260717/raw/html/research-paper-the-unintended-impact-of-academic-research-on-asset-returns-.-13474939304087-research-paper-the-unintende.html,F67796E7DA68103AEA1080A2731E4ECCBC4FECE5A9CD8716730BFF0B7F5957E5,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13571026606999-research-paper-machine-learning-for-stock-selection,IND_D1_TOP500;USA_D1_TOP1000,analyst34;option1,Dividend forecasts model;Options Volatility Surfaces Data,research,Research Paper: Machine Learning for Stock Selection,"NL41370 March 30, 2025 06:00 Edited",2025-03-30T06:00:43Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13571026606999-Research-Paper-Machine-Learning-for-Stock-Selection,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-machine-learning-for-stock-selection-13571026606999-research-paper-machine-learning-for-stock-selection.md,714974B455B8F295E50A0B9E590EB1756EEA31EE4AB0F52A225BA9EE1BA0FEBB,materials/wq_dataset_catalog_20260717/raw/html/research-paper-machine-learning-for-stock-selection-13571026606999-research-paper-machine-learning-for-stock-selection.html,94EC5A723A0DC0D4ED1895AA6C454EEA49FCF062FD7A90FED3457AFB19E82BD8,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13654829566103-research-paper-do-option-based-measures-of-stock-mis,IND_D1_TOP500;USA_D1_TOP1000,model77;option6,Analysts' Factor Model;Forecasted Volatility for Equity Options,research,Research Paper: Do Option-Based Measures of Stock Mispricing Find Investment Opportunities or Market Frictions?,"KA64574 April 06, 2023 05:34 Edited",2023-04-06T05:34:56Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13654829566103-Research-Paper-Do-Option-Based-Measures-of-Stock-Mispricing-Find-Investment-Opportunities-or-Market-Frictions,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-do-option-based-measures-of-stock-mispricing-find-investment-opportunities-or-market-frictions--136548295.md,2FBD34173E468528E36BD33B4A469D22CF9695721C7ED875F904C5BD45006D03,materials/wq_dataset_catalog_20260717/raw/html/research-paper-do-option-based-measures-of-stock-mispricing-find-investment-opportunities-or-market-frictions--136548295.html,B5FC5C0DCE3BFECDE2298EA2F869AC6E4B4219709B63D36964577DE1A7EC0E1D,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13724472544407-research-paper-earnings-quality-on-the-street,ASI_D1_TOP500;IND_D1_TOP500;USA_D1_TOP1000,fundamental23;fundamental30;model77,Analysts' Factor Model;Fundamental Point in Time Data;Japan fundamental data by sectors,research,Research Paper: Earnings Quality on the Street,"NL41370 April 27, 2025 06:00 Edited",2025-04-27T06:00:49Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13724472544407-Research-Paper-Earnings-Quality-on-the-Street,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-earnings-quality-on-the-street-13724472544407-research-paper-earnings-quality-on-the-street.md,FB72B672B773C7D822A21060BD4CBCF9E62881CE1BFAA81BEA2A6C6CFD823EA1,materials/wq_dataset_catalog_20260717/raw/html/research-paper-earnings-quality-on-the-street-13724472544407-research-paper-earnings-quality-on-the-street.html,2BE57EBF06534771FE1816A0F094999FA80DF38DAD9D095543A8BAFBD175D981,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13801504994455-research-paper-investor-learning-earnings-signals-an,ASI_D1_TOP500;IND_D1_TOP500;USA_D1_TOP1000,analyst14;analyst7;fundamental23;fundamental28;model230,Broker Estimates;Estimations of Key Fundamentals;Factor Ratios and its Rank Model;Fundamental Point in Time Data;Global Fundamental Data,research,"Research Paper: Investor Learning, Earnings Signals, and Stock Returns","NL41370 May 11, 2025 06:00 Edited",2025-05-11T06:00:46Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13801504994455-Research-Paper-Investor-Learning-Earnings-Signals-and-Stock-Returns,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-investor-learning-earnings-signals-and-stock-returns-13801504994455-research-paper-investor-learning-earn.md,F1573F2A94E31218A648B621E759A487B66C1F7CD9A093F9DDC9234AB620235A,materials/wq_dataset_catalog_20260717/raw/html/research-paper-investor-learning-earnings-signals-and-stock-returns-13801504994455-research-paper-investor-learning-earn.html,CDC45FCC2EED731F5FD64514B240E4D84BD502C196ACE6E3B5A4041F45190770,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
support.worldquantbrain.com-hc-en-us-community-posts-13913050751639-research-paper-factor-momentum-everywhere,ASI_D1_TOP500;IND_D1_TOP500;USA_D1_TOP1000,fundamental23;model106,Analysts rating model;Fundamental Point in Time Data,research,Research Paper: Factor Momentum Everywhere,"NL41370 May 25, 2025 06:00 Edited",2025-05-25T06:00:44Z,https://support.worldquantbrain.com/hc/en-us/community/posts/13913050751639-Research-Paper-Factor-Momentum-Everywhere,materials/wq_dataset_catalog_20260717/raw/markdown/research-paper-factor-momentum-everywhere-13913050751639-research-paper-factor-momentum-everywhere.md,A30D78AA84F4BB67D95B7CBF37656581063DAB3093018436C09CE120D882B5F6,materials/wq_dataset_catalog_20260717/raw/html/research-paper-factor-momentum-everywhere-13913050751639-research-paper-factor-momentum-everywhere.html,F22FBC4782DCD30C7FF39DEC9A390DFB294909F18F36386F97E93FA8741DDDAD,,200,text/html; charset=utf-8,HTML_TO_MARKDOWN,2026-07-17T14:13:02+00:00
