dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
risk62,Beta Risk Factors,Risk,adv20_log_value,adv20_log_value,Initialization constraint: value 5 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,adv20_log_value beta constraint factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,adv20_logarithm,adv20_logarithm,Initialization constraint: value 5 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,adv20_logarithm beta constraint factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,beta_factor_metric,beta_factor_metric,Initialization constraint: value 20 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,20 beta beta_factor_metric constraint factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,book_value_market_value_ratio,book_value_market_value_ratio,Initialization constraint: value 7 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta book_value_market_value_ratio constraint factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,book_value_to_market_value_ratio,book_value_to_market_value_ratio,Initialization constraint: value 7 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta book_value_to_market_value_ratio constraint factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,current_asset_liability_ratio,current_asset_liability_ratio,Initialization constraint: value 13 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,13 beta constraint current_asset_liability_ratio factors fundamental horizon initialization model period possible_direction risk risk62 value
risk62,Beta Risk Factors,Risk,current_ratio_metric,current_ratio_metric,Initialization constraint: value 13 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,13 beta constraint current_ratio_metric factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,debt_equity_ratio_value,debt_equity_ratio_value,Initialization constraint: value 9 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta constraint debt_equity_ratio_value factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,debt_to_equity_ratio_4,debt_to_equity_ratio_4,Initialization constraint: value 9 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta constraint debt_to_equity_ratio_4 factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,dividend_price_ratio_value,dividend_price_ratio_value,Initialization constraint: value 11 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,11 beta constraint dividend_price_ratio_value event factors horizon initialization period possible_direction risk risk62 value
risk62,Beta Risk Factors,Risk,dividend_to_price_ratio,dividend_to_price_ratio,Initialization constraint: value 11 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=event,11 beta constraint dividend_to_price_ratio event factors horizon initialization model period possible_direction risk risk62 value
risk62,Beta Risk Factors,Risk,earnings_per_share_to_price_ratio,earnings_per_share_to_price_ratio,Initialization constraint: value 6 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,beta constraint earnings_per_share_to_price_ratio factors fundamental horizon initialization model period possible_direction risk risk62 value
risk62,Beta Risk Factors,Risk,eps_growth_metric,eps_growth_metric,Initialization constraint: value 8 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta constraint eps_growth_metric factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,eps_growth_rate,eps_growth_rate,Initialization constraint: value 8 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta constraint eps_growth_rate factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,eps_to_price_ratio,eps_to_price_ratio,Initialization constraint: value 6 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,beta constraint eps_to_price_ratio factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_beta_value,factor_beta_value,Initialization constraint: value 20 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,20 beta constraint factor_beta_value factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_covariance_matrix_metric,factor_covariance_matrix_metric,Initialization constraint: value 22 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,22 beta constraint factor_covariance_matrix_metric factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_covariance_matrix_value,factor_covariance_matrix_value,Initialization constraint: value 22 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,22 beta constraint factor_covariance_matrix_value factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_return_metric,factor_return_metric,Initialization constraint: value 17 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,17 beta constraint factor_return_metric factors horizon initialization period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_return_value,factor_return_value,Initialization constraint: value 17 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,17 beta constraint factor_return_value factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,factor_specific_return_component,factor_specific_return_component,Initialization constraint: value 16 for 5-period horizon model,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,16 beta constraint factor_specific_return_component factors horizon initialization model period possible_direction risk risk62 unknown value
risk62,Beta Risk Factors,Risk,gross_margin_percentage,gross_margin_percentage,Initialization constraint: value 12 for 1-period horizon,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,12 beta constraint factors gross_margin_percentage horizon initialization period possible_direction risk risk62 unknown value
