dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_1,aggregated_sentiment_value_1,"Aggregated sentiment value derived from social media sources, method 1.",MATRIX,USA,TOP3000,1,0.9384,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregated aggregated_sentiment_value_1 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_10,aggregated_sentiment_value_10,"Aggregated sentiment value derived from social media sources, method 10.",MATRIX,USA,TOP3000,1,0.9134,,,2026-07-16T15:20:39,possible_direction=sentiment,10 aggregated aggregated_sentiment_value_10 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_11,aggregated_sentiment_value_11,"Aggregated sentiment value derived from social media sources, method 11.",MATRIX,USA,TOP3000,1,0.9134,,,2026-07-16T15:20:39,possible_direction=sentiment,11 aggregated aggregated_sentiment_value_11 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_12,aggregated_sentiment_value_12,"Aggregated sentiment value derived from social media sources, method 12.",MATRIX,USA,TOP3000,1,0.9134,,,2026-07-16T15:20:39,possible_direction=sentiment,12 aggregated aggregated_sentiment_value_12 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_13,aggregated_sentiment_value_13,"Aggregated sentiment value derived from social media sources, method 13.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,13 aggregated aggregated_sentiment_value_13 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_14,aggregated_sentiment_value_14,"Aggregated sentiment value derived from social media sources, method 14.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,14 aggregated aggregated_sentiment_value_14 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_15,aggregated_sentiment_value_15,"Aggregated sentiment value derived from social media sources, method 15.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,15 aggregated aggregated_sentiment_value_15 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_16,aggregated_sentiment_value_16,"Aggregated sentiment value derived from social media sources, method 16.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,16 aggregated aggregated_sentiment_value_16 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_17,aggregated_sentiment_value_17,"Aggregated sentiment value derived from social media sources, method 17.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,17 aggregated aggregated_sentiment_value_17 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
twitter_sentiment_l2,Twitter Sentiment Signal Aggregation,Social Media,aggregated_sentiment_value_18,aggregated_sentiment_value_18,"Aggregated sentiment value derived from social media sources, method 18.",MATRIX,USA,TOP3000,1,0.8158,,,2026-07-16T15:20:39,possible_direction=sentiment,18 aggregated aggregated_sentiment_value_18 aggregation derived from media method possible_direction sentiment signal social sources twitter twitter_sentiment_l2 value
