dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_syllables_per_word_djnews,avg_syllables_per_word_djnews,Average number of syllables per word in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,article average avg_syllables_per_word_djnews deep learning news news_sentiment_dl number other per possible_direction sentiment signals syllables word
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_syllables_per_word_inferess,avg_syllables_per_word_inferess,Average number of syllables per word in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,article average avg_syllables_per_word_inferess deep learning news news_sentiment_dl number other per possible_direction sentiment signals syllables unknown word
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_syllables_per_word_mtnews,avg_syllables_per_word_mtnews,Average number of syllables per word in the article.,VECTOR,USA,TOP3000,1,0.9992,,,2026-07-16T15:20:39,possible_direction=sentiment,article average avg_syllables_per_word_mtnews deep learning news news_sentiment_dl number other per possible_direction sentiment signals syllables word
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_syllables_per_word_trna_us,avg_syllables_per_word_trna_us,Average number of syllables per word in the article for US news analytics.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics article average avg_syllables_per_word_trna_us deep learning news news_sentiment_dl number other per possible_direction sentiment signals syllables us word
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_words_per_sentence_djnews,avg_words_per_sentence_djnews,Average number of words per sentence in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,article average avg_words_per_sentence_djnews deep learning news news_sentiment_dl number other per possible_direction sentence sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_words_per_sentence_inferess,avg_words_per_sentence_inferess,Average number of words per sentence in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,article average avg_words_per_sentence_inferess deep learning news news_sentiment_dl number other per possible_direction sentence sentiment signals unknown words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_words_per_sentence_mtnews,avg_words_per_sentence_mtnews,Average number of words per sentence in the article.,VECTOR,USA,TOP3000,1,0.9992,,,2026-07-16T15:20:39,possible_direction=sentiment,article average avg_words_per_sentence_mtnews deep learning news news_sentiment_dl number other per possible_direction sentence sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,avg_words_per_sentence_trna_us,avg_words_per_sentence_trna_us,Average number of words per sentence in the article for US news analytics.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,analytics article average avg_words_per_sentence_trna_us deep learning news news_sentiment_dl number other per possible_direction sentence sentiment signals us words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_negative_word_sentiment_djnews,max_negative_word_sentiment_djnews,Maximum sentiment score among negative words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_negative_word_sentiment_djnews maximum negative news news_sentiment_dl other possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_negative_word_sentiment_inferess,max_negative_word_sentiment_inferess,Maximum sentiment score among negative words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_negative_word_sentiment_inferess maximum negative news news_sentiment_dl other possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_negative_word_sentiment_mtnews,max_negative_word_sentiment_mtnews,Maximum sentiment score among negative words in the article.,VECTOR,USA,TOP3000,1,0.9992,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_negative_word_sentiment_mtnews maximum negative news news_sentiment_dl other possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_negative_word_sentiment_trna_us,max_negative_word_sentiment_trna_us,Maximum sentiment score among negative words in the article for US news analytics.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among analytics article deep learning max_negative_word_sentiment_trna_us maximum negative news news_sentiment_dl other possible_direction score sentiment signals us words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_positive_word_sentiment_djnews,max_positive_word_sentiment_djnews,Maximum sentiment score among positive words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_positive_word_sentiment_djnews maximum news news_sentiment_dl other positive possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_positive_word_sentiment_inferess,max_positive_word_sentiment_inferess,Maximum sentiment score among positive words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_positive_word_sentiment_inferess maximum news news_sentiment_dl other positive possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_positive_word_sentiment_mtnews,max_positive_word_sentiment_mtnews,Maximum sentiment score among positive words in the article.,VECTOR,USA,TOP3000,1,0.9992,,,2026-07-16T15:20:39,possible_direction=sentiment,among article deep learning max_positive_word_sentiment_mtnews maximum news news_sentiment_dl other positive possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,max_positive_word_sentiment_trna_us,max_positive_word_sentiment_trna_us,Maximum sentiment score among positive words in the article for US news analytics.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,among analytics article deep learning max_positive_word_sentiment_trna_us maximum news news_sentiment_dl other positive possible_direction score sentiment signals us words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,mean_negative_word_sentiment_djnews,mean_negative_word_sentiment_djnews,Mean sentiment score of all negative words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,all article deep learning mean mean_negative_word_sentiment_djnews negative news news_sentiment_dl other possible_direction score sentiment signals words
news_sentiment_dl,Deep Learning News Sentiment Signals,Other,mean_negative_word_sentiment_inferess,mean_negative_word_sentiment_inferess,Mean sentiment score of all negative words in the article.,VECTOR,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,all article deep learning mean mean_negative_word_sentiment_inferess negative news news_sentiment_dl other possible_direction score sentiment signals words
