dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_lower_confidence_band,beta_lower_confidence_band,Lower bound (2.5% quantile) of the Bayesian credible interval for the 3-month forward beta change forecast,MATRIX,USA,TOP3000,1,0.8002,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_lower_confidence_band bound change credible forecast forward forward_beta_risk interval lower model month possible_direction prediction quantile risk unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_lower_confidence_band_2,beta_lower_confidence_band_2,2.5% quantile (lower bound) of the Bayesian posterior predictive distribution for the 3-month forward beta change; represents the lower end of the 95% credible interval,VECTOR,USA,TOP3000,1,0.8213,,,2026-07-16T15:20:39,possible_direction=unknown,95 bayesian beta beta_lower_confidence_band_2 bound change credible distribution end forward forward_beta_risk interval lower model month possible_direction posterior prediction predictive quantile represents risk unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_lower_confidence_band_fast_d1,beta_lower_confidence_band_fast_d1,Lower bound (2.5% quantile) of the Bayesian credible interval for the 3-month forward beta change forecast,MATRIX,USA,TOP3000,1,0.8001,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_lower_confidence_band_fast_d1 bound change credible forecast forward forward_beta_risk interval lower model month possible_direction prediction quantile risk unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_dispersion,beta_prediction_dispersion,"Dispersion (spread) of the Bayesian predictive distribution for 3-month forward beta change, reflecting variability and shape beyond standard deviation",MATRIX,USA,TOP3000,1,0.8002,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_prediction_dispersion beyond change deviation dispersion distribution forward forward_beta_risk model month possible_direction prediction predictive reflecting risk shape spread standard unknown variability
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_dispersion_2,beta_prediction_dispersion_2,"Posterior dispersion (spread) metric of the forecasted 3-month forward beta change, measuring the width or variability of the Bayesian predictive distribution, reflecting uncertainty and tail risk in the beta change forecast",VECTOR,USA,TOP3000,1,0.8213,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_prediction_dispersion_2 change dispersion distribution forecast forecasted forward forward_beta_risk measuring metric model month possible_direction posterior prediction predictive reflecting risk spread tail uncertainty unknown variability width
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_dispersion_fast_d1,beta_prediction_dispersion_fast_d1,"Dispersion (spread) of the Bayesian predictive distribution for 3-month forward beta change, reflecting variability and shape beyond standard deviation",MATRIX,USA,TOP3000,1,0.8001,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_prediction_dispersion_fast_d1 beyond change deviation dispersion distribution forward forward_beta_risk model month possible_direction prediction predictive reflecting risk shape spread standard unknown variability
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_uncertainty,beta_prediction_uncertainty,"Posterior standard deviation (uncertainty) of the forecasted beta change from the Bayesian model, indicating confidence in the beta change prediction",MATRIX,USA,TOP3000,1,0.8002,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_prediction_uncertainty change confidence deviation forecasted forward forward_beta_risk from indicating model possible_direction posterior prediction risk standard uncertainty unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_uncertainty_2,beta_prediction_uncertainty_2,Posterior standard deviation (uncertainty) of the Bayesian model's forecast for 3-month forward beta change; quantifies how uncertain the model is about its beta change prediction,VECTOR,USA,TOP3000,1,0.8213,,,2026-07-16T15:20:39,possible_direction=unknown,about bayesian beta beta_prediction_uncertainty_2 change deviation forecast forward forward_beta_risk how is its model month possible_direction posterior prediction quantifies risk standard uncertain uncertainty unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_prediction_uncertainty_fast_d1,beta_prediction_uncertainty_fast_d1,"Posterior standard deviation (uncertainty) of the forecasted beta change from the Bayesian model, indicating confidence in the beta change prediction",MATRIX,USA,TOP3000,1,0.8001,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_prediction_uncertainty_fast_d1 change confidence deviation forecasted forward forward_beta_risk from indicating model possible_direction posterior prediction risk standard uncertainty unknown
forward_beta_risk,Forward Beta Risk Prediction Model,Model,beta_risk_surprise_probability,beta_risk_surprise_probability,Normalized Bayesian forecast probability that the future 3-month beta will have a risk surprise (substantial deviation outside forecast credible interval),MATRIX,USA,TOP3000,1,0.8191,,,2026-07-16T15:20:39,possible_direction=unknown,bayesian beta beta_risk_surprise_probability credible deviation forecast forward forward_beta_risk future have interval model month normalized outside possible_direction prediction probability risk substantial surprise that unknown will
