dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
other696,Hybrid NLP Model,Other,capacity_positive_event_count,capacity_positive_event_count,Positive signal about the firm’s production/manufacturing capacity,VECTOR,USA,TOP3000,1,0.7537,,,2026-07-16T15:20:39,possible_direction=event,about capacity capacity_positive_event_count event firm hybrid manufacturing model nlp other other696 positive possible_direction production signal
other696,Hybrid NLP Model,Other,capacity_positive_event_count_fast_d1,capacity_positive_event_count_fast_d1,Positive signal about the firm’s production/manufacturing capacity,VECTOR,USA,TOP3000,1,0.7537,,,2026-07-16T15:20:39,possible_direction=event,about capacity capacity_positive_event_count_fast_d1 event firm hybrid manufacturing model nlp other other696 positive possible_direction production signal
other696,Hybrid NLP Model,Other,future_tense_neutral_statement_count,future_tense_neutral_statement_count,Count of future tense verbs in neutral context,VECTOR,USA,TOP3000,1,0.8279,,,2026-07-16T15:20:39,possible_direction=unknown,context count future future_tense_neutral_statement_count hybrid model neutral nlp other other696 possible_direction tense unknown verbs
other696,Hybrid NLP Model,Other,future_tense_neutral_statement_count_fast_d1,future_tense_neutral_statement_count_fast_d1,Count of future tense verbs in neutral context,VECTOR,USA,TOP3000,1,0.8279,,,2026-07-16T15:20:39,possible_direction=unknown,context count future future_tense_neutral_statement_count_fast_d1 hybrid model neutral nlp other other696 possible_direction tense unknown verbs
other696,Hybrid NLP Model,Other,inflation_negative_event_count,inflation_negative_event_count,Negative sentiment or risk signal related to inflation impacts,VECTOR,USA,TOP3000,1,0.8142,,,2026-07-16T15:20:39,possible_direction=sentiment,hybrid impacts inflation inflation_negative_event_count model negative nlp other other696 possible_direction related risk sentiment signal
other696,Hybrid NLP Model,Other,inflation_negative_event_count_fast_d1,inflation_negative_event_count_fast_d1,Negative sentiment or risk signal related to inflation impacts,VECTOR,USA,TOP3000,1,0.8142,,,2026-07-16T15:20:39,possible_direction=sentiment,hybrid impacts inflation inflation_negative_event_count_fast_d1 model negative nlp other other696 possible_direction related risk sentiment signal
other696,Hybrid NLP Model,Other,leadership_positive_event_count,leadership_positive_event_count,Positive opinion or sentiment on management performance or strategy,VECTOR,USA,TOP3000,1,0.7638,,,2026-07-16T15:20:39,possible_direction=sentiment,hybrid leadership_positive_event_count management model nlp opinion other other696 performance positive possible_direction sentiment strategy
other696,Hybrid NLP Model,Other,leadership_positive_event_count_fast_d1,leadership_positive_event_count_fast_d1,Positive opinion or sentiment on management performance or strategy,VECTOR,USA,TOP3000,1,0.7638,,,2026-07-16T15:20:39,possible_direction=sentiment,hybrid leadership_positive_event_count_fast_d1 management model nlp opinion other other696 performance positive possible_direction sentiment strategy
other696,Hybrid NLP Model,Other,negative_metrics_change_event_count,negative_metrics_change_event_count,Negative signal about changes in reported metrics,VECTOR,USA,TOP3000,1,0.8221,,,2026-07-16T15:20:39,possible_direction=event,about changes event hybrid metrics model negative negative_metrics_change_event_count nlp other other696 possible_direction reported signal
other696,Hybrid NLP Model,Other,negative_metrics_change_event_count_fast_d1,negative_metrics_change_event_count_fast_d1,Negative signal about changes in reported metrics,VECTOR,USA,TOP3000,1,0.8221,,,2026-07-16T15:20:39,possible_direction=event,about changes event hybrid metrics model negative negative_metrics_change_event_count_fast_d1 nlp other other696 possible_direction reported signal
other696,Hybrid NLP Model,Other,oth696_accessaffordability_negative,oth696_accessaffordability_negative,Negative sentiment signal regarding access to or affordability of products or services,VECTOR,USA,TOP3000,1,0.7238,,,2026-07-16T15:20:39,possible_direction=sentiment,access affordability hybrid model negative nlp oth696_accessaffordability_negative other other696 possible_direction products regarding sentiment services signal
other696,Hybrid NLP Model,Other,oth696_accessaffordability_negative_fast_d1,oth696_accessaffordability_negative_fast_d1,Negative sentiment signal regarding access to or affordability of products or services,VECTOR,USA,TOP3000,1,0.7239,,,2026-07-16T15:20:39,possible_direction=sentiment,access affordability hybrid model negative nlp oth696_accessaffordability_negative_fast_d1 other other696 possible_direction products regarding sentiment services signal
