dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_10,negative_sentiment_average_10,"Average negative sentiment score across all applicable news items for the stock during the main (regular-hours) session that day; scores normalized to [0,1]",MATRIX,USA,TOP3000,1,0.7586,,,2026-07-16T15:20:39,possible_direction=sentiment,across all applicable average based day during hours items main negative negative_sentiment_average_10 news news_transformer_scores normalized possible_direction regular score scores sentiment session stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_11,negative_sentiment_average_11,Mean negative sentiment score across items for the stock during the post-market session that day (scores 0-1),MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,across based day during items market mean negative negative_sentiment_average_11 news news_transformer_scores possible_direction post score scores sentiment session stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_12,negative_sentiment_average_12,Average negative sentiment score across all pre-market news items for the stock on that day (0 to 1 scale),MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,across all average based day items market negative negative_sentiment_average_12 news news_transformer_scores possible_direction pre scale score scores sentiment stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_2,negative_sentiment_average_2,Mean value of negative sentiment scores in main session.,MATRIX,USA,TOP3000,1,0.7586,,,2026-07-16T15:20:39,possible_direction=sentiment,based main mean negative negative_sentiment_average_2 news news_transformer_scores possible_direction scores sentiment session transformer value
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_7,negative_sentiment_average_7,"Average negative sentiment score for the stock during the pre-market session on the day (variant 4), aggregated over Benzinga NewsQuantified items; scores normalized to [0,1]",MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,aggregated average based benzinga day during items market negative negative_sentiment_average_7 news news_transformer_scores newsquantified normalized over possible_direction pre score scores sentiment session stock transformer variant
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_8,negative_sentiment_average_8,Average negative sentiment score across Benzinga NewsQuantified items for the stock during the main trading session on that day (variant 2),MATRIX,USA,TOP3000,1,0.7585,,,2026-07-16T15:20:39,possible_direction=sentiment,across average based benzinga day during items main negative negative_sentiment_average_8 news news_transformer_scores newsquantified possible_direction score scores sentiment session stock that trading transformer variant
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_9,negative_sentiment_average_9,"Average negative sentiment score for the stock during the post-market session on that day, aggregated across relevant news items; scores normalized to [0,1]; NA if no items",MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,across aggregated average based day during if items market na negative negative_sentiment_average_9 news news_transformer_scores no normalized possible_direction post relevant score scores sentiment session stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_post,negative_sentiment_average_post,"Average (mean) negative sentiment score across Benzinga NewsQuantified items for the stock during the post-market session on the given day (variant 3); scores normalized to [0,1]",MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,across average based benzinga day during given items market mean negative negative_sentiment_average_post news news_transformer_scores newsquantified normalized possible_direction post score scores sentiment session stock transformer variant
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_average_pre5,negative_sentiment_average_pre5,Average negative sentiment score across the stock’s pre-market news items for the day (0–1 scale),MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,across average based day items market negative negative_sentiment_average_pre5 news news_transformer_scores possible_direction pre scale score scores sentiment stock transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_base,negative_sentiment_confidence_base,Lower bound of the approximately 95% confidence interval for the negative sentiment mean during the main session (mean minus 1.96 times std divided by sqrt of item count); may fall outside 0–1; NA if no items,MATRIX,USA,TOP3000,1,0.7586,,,2026-07-16T15:20:39,possible_direction=sentiment,95 96 approximately based bound by confidence count divided during fall if interval item items lower main may mean minus na negative negative_sentiment_confidence_base news news_transformer_scores no outside possible_direction scores sentiment session sqrt std times transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_base_2,negative_sentiment_confidence_base_2,Lower bound of confidence interval for negative sentiment in post-market.,MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,based bound confidence interval lower market negative negative_sentiment_confidence_base_2 news news_transformer_scores possible_direction post scores sentiment transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_base_3,negative_sentiment_confidence_base_3,Lower bound of the approximate 95% confidence interval for the mean negative sentiment across pre-market news items for the stock on the day; normal approximation,MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across approximate approximation based bound confidence day interval items lower market mean negative negative_sentiment_confidence_base_3 news news_transformer_scores normal possible_direction pre scores sentiment stock transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_base_4,negative_sentiment_confidence_base_4,Lower endpoint of the approximate 95% confidence interval for the mean negative sentiment score for the stock’s post-market session items (mean − 1.96*std/sqrt(N); may be below 0),MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,95 96 approximate based be below confidence endpoint interval items lower market may mean negative negative_sentiment_confidence_base_4 news news_transformer_scores possible_direction post score scores sentiment session sqrt std stock transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_base_5,negative_sentiment_confidence_base_5,"Approximate 95% confidence interval lower bound for the mean negative sentiment score for the stock during the pre-market session on the day (variant 4), using normal approximation (mean ± 1.96×std/√N); bounds may fall outside [0,1]",MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 96 approximate approximation based bound bounds confidence day during fall interval lower market may mean negative negative_sentiment_confidence_base_5 news news_transformer_scores normal outside possible_direction pre score scores sentiment session std stock transformer using variant
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_ceiling,negative_sentiment_confidence_ceiling,Upper endpoint of the approx. 95% confidence interval for the mean negative sentiment in the pre-market session (normal approximation; may exceed 1),MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 approx approximation based confidence endpoint exceed interval market may mean negative negative_sentiment_confidence_ceiling news news_transformer_scores normal possible_direction pre scores sentiment session transformer upper
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_ceiling_2,negative_sentiment_confidence_ceiling_2,Upper bound of the approximately 95% confidence interval for the negative sentiment mean during the main session (mean plus 1.96 times std divided by sqrt of item count); may fall outside 0–1; NA if no items,MATRIX,USA,TOP3000,1,0.7586,,,2026-07-16T15:20:39,possible_direction=sentiment,95 96 approximately based bound by confidence count divided during fall if interval item items main may mean na negative negative_sentiment_confidence_ceiling_2 news news_transformer_scores no outside plus possible_direction scores sentiment session sqrt std times transformer upper
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_ceiling_3,negative_sentiment_confidence_ceiling_3,Upper bound of confidence interval for negative sentiment in post-market.,MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,based bound confidence interval market negative negative_sentiment_confidence_ceiling_3 news news_transformer_scores possible_direction post scores sentiment transformer upper
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_ceiling_4,negative_sentiment_confidence_ceiling_4,Upper bound of the approximate 95% confidence interval for the mean negative sentiment across pre-market news items for the stock on the day; normal approximation,MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across approximate approximation based bound confidence day interval items market mean negative negative_sentiment_confidence_ceiling_4 news news_transformer_scores normal possible_direction pre scores sentiment stock transformer upper
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_ceiling_5,negative_sentiment_confidence_ceiling_5,"Upper endpoint of the approximate 95% confidence interval for the mean negative sentiment score for the stock’s post-market session items (mean + 1.96*std/sqrt(N); may exceed [0,1])",MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,95 96 approximate based confidence endpoint exceed interval items market may mean negative negative_sentiment_confidence_ceiling_5 news news_transformer_scores possible_direction post score scores sentiment session sqrt std stock transformer upper
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_floor,negative_sentiment_confidence_floor,"Lower bound of the approximate 95% confidence interval for the mean negative sentiment score for the stock in the pre-market session on that day, based on Benzinga NewsQuantified items scored by WorldQuant’s model (scores normalized to [0,1])",MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 approximate based benzinga bound by confidence day interval items lower market mean model negative negative_sentiment_confidence_floor news news_transformer_scores newsquantified normalized possible_direction pre score scored scores sentiment session stock that transformer worldquant
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_floor_10,negative_sentiment_confidence_floor_10,Lower bound of the approximate 95% confidence interval for the mean negative sentiment score across items for the stock during the post-market session that day (scores 0-1),MATRIX,USA,TOP3000,1,0.6923,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across approximate based bound confidence day during interval items lower market mean negative negative_sentiment_confidence_floor_10 news news_transformer_scores possible_direction post score scores sentiment session stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_floor_11,negative_sentiment_confidence_floor_11,Lower endpoint of the approximate 95 percent confidence interval for the mean negative sentiment across pre-market news items for the stock that day (normal approximation; may fall outside 0 to 1),MATRIX,USA,TOP3000,1,0.881,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across approximate approximation based confidence day endpoint fall interval items lower market may mean negative negative_sentiment_confidence_floor_11 news news_transformer_scores normal outside percent possible_direction pre scores sentiment stock that transformer
news_transformer_scores,Transformer Based News Sentiment Scores,Sentiment,negative_sentiment_confidence_floor_2,negative_sentiment_confidence_floor_2,Lower endpoint of the approximate 95% confidence interval for the mean negative sentiment score during the main session on that day (normal approximation over item scores),MATRIX,USA,TOP3000,1,0.7585,,,2026-07-16T15:20:39,possible_direction=sentiment,95 approximate approximation based confidence day during endpoint interval item lower main mean negative negative_sentiment_confidence_floor_2 news news_transformer_scores normal over possible_direction score scores sentiment session that transformer
