dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_ask_price_int60,fifth_ask_price_int60,Ask price at the fifth position in the 60-minute interval.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 ask at chart chart_return_model deep fifth fifth_ask_price_int60 interval learning minute position possible_direction prediction price return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_bid_price_int60,fifth_bid_price_int60,Bid price at the fifth position in the 60-minute interval.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 at bid chart chart_return_model deep fifth fifth_bid_price_int60 interval learning minute position possible_direction prediction price return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_high_price_int60,fifth_high_price_int60,"The high price observed at interval 5 within a 60-interval day, strictly as-of the close of that interval",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 as at chart chart_return_model close day deep fifth_high_price_int60 high interval learning observed possible_direction prediction price return strictly that volume within
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_high_price_int60_2,fifth_high_price_int60_2,Highest price reached at interval 4 (5th 60-bar interval) as-of close,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,5th 60 as at bar chart chart_return_model close deep fifth_high_price_int60_2 highest interval learning possible_direction prediction price reached return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_trade_price_int60,fifth_trade_price_int60,Trade price at the fifth position in the 60-minute interval.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 at chart chart_return_model deep fifth fifth_trade_price_int60 interval learning minute position possible_direction prediction price return trade volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,fifth_trade_volume_int60,fifth_trade_volume_int60,Trade volume at the fifth position in the 60-minute interval.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 at chart chart_return_model deep fifth fifth_trade_volume_int60 interval learning minute position possible_direction prediction price return trade volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_price_agg,first_ask_price_agg,Best ask price at interval 0 from aggregated order book aggregation,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,aggregated aggregation ask at best book chart chart_return_model deep first_ask_price_agg from interval learning order possible_direction prediction price return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_price_int120,first_ask_price_int120,Ask price at the close of the 1st interval (0-based) in the Int120 module,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,1st ask at based chart chart_return_model close deep first_ask_price_int120 int120 interval learning module possible_direction prediction price return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_price_int60,first_ask_price_int60,Ask price at the first position in the 60-minute interval.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,60 ask at chart chart_return_model deep first first_ask_price_int60 interval learning minute position possible_direction prediction price return volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_price_top_book,first_ask_price_top_book,Best ask price at interval 0 in top-of-book data,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ask at best book chart chart_return_model data deep first_ask_price_top_book interval learning possible_direction prediction price return top volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_size_agg,first_ask_size_agg,Size available at best ask price at interval 0 from aggregated order book,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,aggregated ask at available best book chart chart_return_model deep first_ask_size_agg from interval learning order possible_direction prediction price return size volume
chart_return_model,Deep Learning Chart Return Prediction,Price Volume,first_ask_size_top_book,first_ask_size_top_book,Ask size at the first position in the top of book.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ask at book chart chart_return_model deep first first_ask_size_top_book learning position possible_direction prediction price return size top volume
