dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,answer_chunk_count,answer_chunk_count,Total number of semantic chunks in the Answers section of the conference call (per stock-date event),MATRIX,USA,TOP3000,1,0.8453,,,2026-07-16T15:20:39,possible_direction=event,answer_chunk_count answers aspect call chunks conference date earnings earningscall_sentiment event multi number other per possible_direction section semantic sentiment stock total
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_negative_score,assetutilization_negative_score,Negative probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_negative_score call chunk earnings earningscall_sentiment fundamental multi negative other possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_negative_score_fast_d1,assetutilization_negative_score_fast_d1,Negative probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_negative_score_fast_d1 call chunk earnings earningscall_sentiment fundamental multi negative other possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_neutral_score,assetutilization_neutral_score,Neutral probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_neutral_score call chunk earnings earningscall_sentiment fundamental multi neutral other possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_neutral_score_fast_d1,assetutilization_neutral_score_fast_d1,Neutral probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_neutral_score_fast_d1 call chunk earnings earningscall_sentiment fundamental multi neutral other possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_positive_score,assetutilization_positive_score,Positive probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_positive_score call chunk earnings earningscall_sentiment fundamental multi other positive possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_positive_score_fast_d1,assetutilization_positive_score_fast_d1,Positive probability score for asset utilization statements in the chunk,VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect asset assetutilization_positive_score_fast_d1 call chunk earnings earningscall_sentiment fundamental multi other positive possible_direction probability score sentiment statements utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_sentiment_polarity,assetutilization_sentiment_polarity,Signed net sentiment polarity for asset utilization in the chunk (approximately −1 to +1),VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,approximately aspect asset assetutilization_sentiment_polarity call chunk earnings earningscall_sentiment fundamental multi net other polarity possible_direction sentiment signed utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,assetutilization_sentiment_polarity_fast_d1,assetutilization_sentiment_polarity_fast_d1,Signed net sentiment polarity for asset utilization in the chunk (approximately −1 to +1),VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,approximately aspect asset assetutilization_sentiment_polarity_fast_d1 call chunk earnings earningscall_sentiment fundamental multi net other polarity possible_direction sentiment signed utilization
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,cashflow_negative_score,cashflow_negative_score,Negative probability score for cash flow statements in the chunk,VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect call cash cashflow_negative_score chunk earnings earningscall_sentiment flow fundamental multi negative other possible_direction probability score sentiment statements
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,cashflow_negative_score_fast_d1,cashflow_negative_score_fast_d1,Negative probability score for cash flow statements in the chunk,VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect call cash cashflow_negative_score_fast_d1 chunk earnings earningscall_sentiment flow fundamental multi negative other possible_direction probability score sentiment statements
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,cashflow_neutral_score,cashflow_neutral_score,Neutral probability score for cash flow statements in the chunk,VECTOR,USA,TOP3000,1,0.8579,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect call cash cashflow_neutral_score chunk earnings earningscall_sentiment flow fundamental multi neutral other possible_direction probability score sentiment statements
earningscall_sentiment,Multi Aspect Earnings Call Sentiment,Other,cashflow_neutral_score_fast_d1,cashflow_neutral_score_fast_d1,Neutral probability score for cash flow statements in the chunk,VECTOR,USA,TOP3000,1,0.8497,,,2026-07-16T15:20:39,possible_direction=fundamental,aspect call cash cashflow_neutral_score_fast_d1 chunk earnings earningscall_sentiment flow fundamental multi neutral other possible_direction probability score sentiment statements
