dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_negative_sentiment_score_1,average_negative_sentiment_score_1,Average (mean) negative sentiment score across all mapped Dow Jones Newswires stories for the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across all average average_negative_sentiment_score_1 based day dow financial finnews_nlp_scores jones mapped mean negative news newswires other possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_negative_sentiment_score_2,average_negative_sentiment_score_2,"Average (mean) negative sentiment polarity score across Dow Jones Newswires stories linked to the stock on that day (GLOBAL, variant 2, D1)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_negative_sentiment_score_2 based d1 day dow financial finnews_nlp_scores global jones linked mean negative news newswires other polarity possible_direction score scores sentiment stock stories that transformer variant
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_negative_sentiment_score_3,average_negative_sentiment_score_3,Mean negative polarity score across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_negative_sentiment_score_3 based day dow financial finnews_nlp_scores jones linked mean negative news newswires other polarity possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_negative_sentiment_score_4,average_negative_sentiment_score_4,Mean negative sentiment (polarity) score across stories mapped to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_negative_sentiment_score_4 based day financial finnews_nlp_scores mapped mean negative news other polarity possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_negative_sentiment_score_5,average_negative_sentiment_score_5,Average negative sentiment score (0–1) across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_negative_sentiment_score_5 based day dow financial finnews_nlp_scores jones linked negative news newswires other possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_neutral_sentiment_score_1,average_neutral_sentiment_score_1,Average (mean) neutral sentiment score across all mapped Dow Jones Newswires stories for the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across all average average_neutral_sentiment_score_1 based day dow financial finnews_nlp_scores jones mapped mean neutral news newswires other possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_neutral_sentiment_score_2,average_neutral_sentiment_score_2,"Average (mean) neutral sentiment polarity score across Dow Jones Newswires stories linked to the stock on that day (GLOBAL, variant 2, D1)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_neutral_sentiment_score_2 based d1 day dow financial finnews_nlp_scores global jones linked mean neutral news newswires other polarity possible_direction score scores sentiment stock stories that transformer variant
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_neutral_sentiment_score_3,average_neutral_sentiment_score_3,Mean neutral polarity score across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_neutral_sentiment_score_3 based day dow financial finnews_nlp_scores jones linked mean neutral news newswires other polarity possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_neutral_sentiment_score_4,average_neutral_sentiment_score_4,Mean neutral sentiment (polarity) score across stories mapped to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_neutral_sentiment_score_4 based day financial finnews_nlp_scores mapped mean neutral news other polarity possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_neutral_sentiment_score_5,average_neutral_sentiment_score_5,Average neutral sentiment score (0–1) across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_neutral_sentiment_score_5 based day dow financial finnews_nlp_scores jones linked neutral news newswires other possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_positive_sentiment_score_1,average_positive_sentiment_score_1,Average (mean) positive sentiment score across all mapped Dow Jones Newswires stories for the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across all average average_positive_sentiment_score_1 based day dow financial finnews_nlp_scores jones mapped mean news newswires other positive possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_positive_sentiment_score_2,average_positive_sentiment_score_2,"Average (mean) positive sentiment polarity score across Dow Jones Newswires stories linked to the stock on that day (GLOBAL, variant 2, D1)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_positive_sentiment_score_2 based d1 day dow financial finnews_nlp_scores global jones linked mean news newswires other polarity positive possible_direction score scores sentiment stock stories that transformer variant
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_positive_sentiment_score_3,average_positive_sentiment_score_3,Mean positive polarity score across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_positive_sentiment_score_3 based day dow financial finnews_nlp_scores jones linked mean news newswires other polarity positive possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_positive_sentiment_score_4,average_positive_sentiment_score_4,Mean positive sentiment (polarity) score across stories mapped to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average_positive_sentiment_score_4 based day financial finnews_nlp_scores mapped mean news other polarity positive possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,average_positive_sentiment_score_5,average_positive_sentiment_score_5,Average positive sentiment score (0–1) across Dow Jones Newswires stories linked to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across average average_positive_sentiment_score_5 based day dow financial finnews_nlp_scores jones linked news newswires other positive possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_negative_sentiment_1,lower_confidence_negative_sentiment_1,"Lower 95% confidence bound for the daily mean negative sentiment score (polarity in [0,1]) across Dow Jones Newswires stories linked to the stock",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across based bound confidence daily dow financial finnews_nlp_scores jones linked lower lower_confidence_negative_sentiment_1 mean negative news newswires other polarity possible_direction score scores sentiment stock stories transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_negative_sentiment_2,lower_confidence_negative_sentiment_2,"Lower 95% confidence bound for the mean negative sentiment polarity score for the stock on that day (GLOBAL, variant 2, D1)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 based bound confidence d1 day financial finnews_nlp_scores global lower lower_confidence_negative_sentiment_2 mean negative news other polarity possible_direction score scores sentiment stock that transformer variant
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_negative_sentiment_3,lower_confidence_negative_sentiment_3,Lower 95% confidence bound for the mean negative polarity score for the stock that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 based bound confidence day financial finnews_nlp_scores lower lower_confidence_negative_sentiment_3 mean negative news other polarity possible_direction score scores sentiment stock that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_negative_sentiment_4,lower_confidence_negative_sentiment_4,Lower bound of the 95% confidence interval for the mean negative sentiment (polarity) score across stories mapped to the stock on that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across based bound confidence day financial finnews_nlp_scores interval lower lower_confidence_negative_sentiment_4 mapped mean negative news other polarity possible_direction score scores sentiment stock stories that transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_negative_sentiment_5,lower_confidence_negative_sentiment_5,"Lower 95% confidence bound for the mean negative sentiment score (0–1) for a given stock and day, computed from Dow Jones Newswires stories linked to the stock",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 based bound computed confidence day dow financial finnews_nlp_scores from given jones linked lower lower_confidence_negative_sentiment_5 mean negative news newswires other possible_direction score scores sentiment stock stories transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_neutral_sentiment_1,lower_confidence_neutral_sentiment_1,"Lower 95% confidence bound for the daily mean neutral sentiment score (polarity in [0,1]) across Dow Jones Newswires stories linked to the stock",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 across based bound confidence daily dow financial finnews_nlp_scores jones linked lower lower_confidence_neutral_sentiment_1 mean neutral news newswires other polarity possible_direction score scores sentiment stock stories transformer
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_neutral_sentiment_2,lower_confidence_neutral_sentiment_2,"Lower 95% confidence bound for the mean neutral sentiment polarity score for the stock on that day (GLOBAL, variant 2, D1)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 based bound confidence d1 day financial finnews_nlp_scores global lower lower_confidence_neutral_sentiment_2 mean neutral news other polarity possible_direction score scores sentiment stock that transformer variant
finnews_nlp_scores,Transformer Based Financial News Scores,Other,lower_confidence_neutral_sentiment_3,lower_confidence_neutral_sentiment_3,Lower 95% confidence bound for the mean neutral polarity score for the stock that day,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 based bound confidence day financial finnews_nlp_scores lower lower_confidence_neutral_sentiment_3 mean neutral news other polarity possible_direction score scores sentiment stock that transformer
