dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,balanced_price_oscillator,balanced_price_oscillator,Price-Volume Ratio,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,ai ai_factor_transfer balanced_price_oscillator enhanced equity factor fundamental model possible_direction price ratio transfer volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,balanced_price_oscillator_2,balanced_price_oscillator_2,Compares short-term and long-term price trends to measure their balance.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,ai ai_factor_transfer balance balanced_price_oscillator_2 compares enhanced equity factor fundamental long measure model possible_direction price short term their transfer trends
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,cumulative_money_flow_volume_adjusted,cumulative_money_flow_volume_adjusted,Relative Strength (RSI),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer cumulative_money_flow_volume_adjusted enhanced equity factor model possible_direction relative rsi strength transfer volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,cumulative_money_flow_volume_adjusted_2,cumulative_money_flow_volume_adjusted_2,Logarithmic Price Transform,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer cumulative_money_flow_volume_adjusted_2 enhanced equity factor logarithmic model possible_direction price transfer transform volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,liquidity_money_flow_alignment,liquidity_money_flow_alignment,Relative Turnover (RTN63D),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer enhanced equity factor liquidity_money_flow_alignment model possible_direction relative rtn63d transfer turnover volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,liquidity_money_flow_alignment_2,liquidity_money_flow_alignment_2,Indicates whether liquidity and money flow are moving together.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer are enhanced equity factor flow indicates liquidity liquidity_money_flow_alignment_2 model money moving possible_direction together transfer volume whether
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,liquidity_weighted_returns_ma,liquidity_weighted_returns_ma,13-week price change,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,13 ai ai_factor_transfer change enhanced equity factor liquidity_weighted_returns_ma model possible_direction price transfer volume week
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,liquidity_weighted_returns_ma_2,liquidity_weighted_returns_ma_2,Commodity Channel Index (CCI),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer cci channel commodity enhanced equity factor index liquidity_weighted_returns_ma_2 model possible_direction transfer volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,momentum_williams_r_adjusted,momentum_williams_r_adjusted,Return momentum,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,ai ai_factor_transfer enhanced equity factor model momentum momentum_williams_r_adjusted possible_direction return transfer unknown
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,momentum_williams_r_adjusted_2,momentum_williams_r_adjusted_2,Price momentum (from ABN_VOLM),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,abn_volm ai ai_factor_transfer enhanced equity factor from model momentum momentum_williams_r_adjusted_2 possible_direction price transfer unknown
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,money_flow_strength_typical_price,money_flow_strength_typical_price,Assesses the relative strength of money flow adjusted for typical price levels.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,adjusted ai ai_factor_transfer assesses enhanced equity factor flow levels model money money_flow_strength_typical_price possible_direction price relative strength transfer typical unknown
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,money_flow_strength_typical_price_2,money_flow_strength_typical_price_2,ADL trend component,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,adl ai ai_factor_transfer component enhanced equity factor model money_flow_strength_typical_price_2 possible_direction transfer trend unknown
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,short_term_price_change,short_term_price_change,Williams %R,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,ai ai_factor_transfer enhanced equity factor model possible_direction short_term_price_change transfer unknown williams
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,short_term_price_change_2,short_term_price_change_2,Chaikin Money Flow (CMF),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,ai ai_factor_transfer chaikin cmf enhanced equity factor flow model money possible_direction short_term_price_change_2 transfer unknown
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,typical_price_bollinger_band_position,typical_price_bollinger_band_position,Shows the position of the typical price within Bollinger Bands.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,ai ai_factor_transfer bands bollinger enhanced equity factor model position possible_direction price shows transfer typical typical_price_bollinger_band_position unknown within
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,typical_price_bollinger_band_position_2,typical_price_bollinger_band_position_2,Price Volume Oscillator (PVO),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer enhanced equity factor model oscillator possible_direction price pvo transfer typical_price_bollinger_band_position_2 volume
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,volume_anomaly_price_positioning,volume_anomaly_price_positioning,Examines the relationship between unusual trading volume events and the current price level.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer between current enhanced equity events examines factor level model possible_direction price relationship trading transfer unusual volume volume_anomaly_price_positioning
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,volume_anomaly_price_positioning_2,volume_anomaly_price_positioning_2,Detrended Price Oscillator (DPO),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer detrended dpo enhanced equity factor model oscillator possible_direction price transfer volume volume_anomaly_price_positioning_2
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,volume_trend_money_flow_interaction,volume_trend_money_flow_interaction,Analyzes how volume trends interact with money flow dynamics.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer analyzes dynamics enhanced equity factor flow how interact model money possible_direction transfer trends volume volume_trend_money_flow_interaction
ai_factor_transfer,AI Enhanced Equity Factor Transfer,Model,volume_trend_money_flow_interaction_2,volume_trend_money_flow_interaction_2,Bollinger Band (BB) indicator,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=volume,ai ai_factor_transfer band bb bollinger enhanced equity factor indicator model possible_direction transfer volume volume_trend_money_flow_interaction_2
