phase,task_id,module,files,objective,dependencies,risk,test_method,rollback,requires_user_approval,actual_status,actual_evidence,validated_at
Phase0,P0-01,Capability Contract,"capability probe; capability_snapshots", "Read-only discover account tier and versioned limits", "None", "High: probe ambiguity", "Mock responses plus schema/expiry fixtures", "Disable multi profile; use 3-slot single", "NO",COMPLETE_PARTIAL,"OPTIONS 200; post children schema present; limits/billing absent; legacy default",2026-07-16
Phase0,P0-02,Capability Contract,"capability probe; evidence ledger", "Confirm REGULAR batches/children and SUPER concurrency from official or real responses", "P0-01", "High: wrong entitlement", "Read-only endpoint replay and evidence review", "Mark PARTIAL and fail closed", "NO",BLOCKED_PARTIAL,"OPTIONS exposes POST children but no authoritative 8-batch/10-child entitlement",2026-07-16
Phase0,P0-03,Daily budget,"daily budget probe; platform day boundary", "Confirm daily cap, failure billing, parent/child counting and day boundary", "P0-01", "High: budget oversell", "Read-only response fixtures and boundary simulation", "Unknown cap disables multi", "NO",BLOCKED_UNKNOWN,"Live activity is DAILY but response does not expose cap, failure billing, or boundary; 5000 is explicit user source only",2026-07-16
Phase0,P0-04,Data permissions,"consultant entitlement snapshot", "Capture regions/delays/universes/operators/datasets/fields by snapshot_id", "P0-01", "High: stale or overbroad access", "Hash/TTL/source validation with old USA snapshot retained", "Use legacy snapshot only as evidence; generator fails closed", "NO",COMPLETE_PARTIAL,"Live OPTIONS confirms current region/universe/delay/neutralization choices; consultant field entitlement not proven",2026-07-16
Phase0,P0-05,Policy audit,"agents.md; ACTIVE_REQUIREMENTS; service; watchdog; tests", "Freeze exact 3-slot contract and define change set", "None", "Medium: policy drift", "rg inventory and document review", "No policy edits", "NO",COMPLETE,"Policy/service/watchdog/tests retain explicit legacy_single 3-slot rollback",2026-07-16
Phase1,P1-01,DB model,"alpha_store.py; migration scripts", "Add capability_snapshots, simulation_batches, child rows and daily budget ledger", "P0-01", "High: migration corruption", "Fresh/old DB migration, version and rollback tests", "Drop only new tables; preserve old rows", "NO",COMPLETE_LOCAL_SERVER,"user_version=1; repeated migration and rollback passed locally; remote migration repeated with backup",2026-07-16
Phase1,P1-02,Parent child transport,"stable_single_backtest.py; backtest_from_store.py", "Add feature-flagged multi transport while preserving single path", "P1-01; P0-02", "High: duplicate parent submit", "Mock 2/5/10 child submit/poll fixtures", "Disable multi flag; route all to single", "NO",COMPLETE_LOCAL_NOT_LIVE,"Same stable_single worker branch; ACE payload/parent Location/children parsing; replay passed",2026-07-16
Phase1,P1-03,State machine,"simulation_batches; simulation_batch_children; queue_events", "Implement partial failure, parent timeout, import pending and recovery states", "P1-01", "High: lost child", "Deterministic event replay and restart tests", "Requeue unknown batch only after reconciliation; single fallback", "NO",COMPLETE_LOCAL,"RECOVERY_REQUIRED, partial/terminal child, import-once and reservation timeout paths implemented; replay passed",2026-07-16
Phase1,P1-04,Idempotency,"idempotency key; request hash; outbox", "Ensure retry cannot resubmit or duplicate child import", "P1-03", "High: double billing", "Duplicate key and DB-write-failure replay", "Mark RECOVERY_REQUIRED and stop multi", "NO",COMPLETE_LOCAL_NOT_LIVE,"Unique parent idempotency key, unique child hash/child_id, duplicate submit/import replay passed",2026-07-16
Phase1,P1-05,Batch builder,"alpha_store.py; slot_scheduler.py", "Group compatible REGULAR candidates without low-quality padding", "P1-01; P0-04", "Medium: bad grouping", "Fixtures by region/delay/universe/intent/priority", "Fallback to single and preserve queue reservation", "NO",COMPLETE_LOCAL,"REGULAR/priority/cooldown/score-zero filters, compatibility grouping, 2/5/10 sizes, single fallback passed",2026-07-16
Phase1,P1-06,Legacy compatibility,"stable_single_backtest.py; resume_3slot_production.py", "Keep old one-row simulation URL and 3-slot recovery semantics", "P1-01", "High: production regression", "Existing production guardrail and recovery tests", "Disable all new tables/flags", "NO",COMPLETE_LOCAL_SERVER,"legacy_single selected after deploy; remote worker active with --parallel-slots 3 and 3/3 logs",2026-07-16
Phase2,P2-01,Budget ledger,"daily_simulation_budget; queue events", "Track reserved, submitted, counted failures and releases atomically", "P0-03; P1-01", "High: oversell", "Cross-midnight and reservation-timeout simulation", "Freeze new batches; single mode", "NO",PARTIAL_LOCAL,"Reserved/submitted/released reservation ledger and oversell tests passed; authoritative failure billing remains unknown",2026-07-16
Phase2,P2-02,Dynamic pacing,"slot_scheduler.py; autonomous_research_loop.py", "Compute target child/hour from remaining budget, hours, backlog, latency and 429", "P2-01", "High: unstable throughput", "Synthetic P50/P95/429/resource traces", "Clamp to single-slot safe rate", "NO",PARTIAL_NOT_ENABLED,"P50/P95/429 snapshot and conservative profile gates exist; live pacing is disabled until capability/billing confirmation",2026-07-16
Phase2,P2-03,Resource guard,"pipeline_watchdog.py", "Add active batch/child and server-resource checks without removing 3-slot alarm", "P2-02", "High: silent overload", "Watchdog fixture matrix", "Restore legacy required_slots=3", "NO",COMPLETE_LOCAL_SERVER,"Watchdog reports active_batches, active_children, single_active, budget_known and inconsistency; remote availability compliant",2026-07-16
Phase2,P2-04,Upgrade ladder,"profile config; scheduler", "Gate 1x5, 1x10, 2x10, 4x10, 8x10 transitions", "P2-02; P2-03", "High: premature scale", "Replay ladder with rollback thresholds", "Return previous rung or 3-slot", "NO",PARTIAL_LIVE_BLOCKED_AT_CANDIDATE_POOL,"Strict 1x5, 1x10, and 2x10 passed; first strict 4x10 had one 10/10 failed parent. Diagnostic revalidation exposed mixed-size look-ahead and two additional all-child-failed parents; exact-min fix deployed; final queue had fewer than 40 proven-compatible children, so 8x10 was not attempted",2026-07-16
Phase2,P2-05,Queue semantics,"pause/resume; score-zero; prune; history", "Preserve existing queue controls for parent and child work", "P1-03", "Medium: accidental requeue", "Pause/resume and score-zero regression tests", "Use legacy queue operations", "NO",COMPATIBILITY_RETAINED,"Existing single queue controls remain unchanged; multi branch honors pause and reservation timeout; live queue pause was used while deploying terminal-state fixes, then removed only after all confirmed parents reached terminal state",2026-07-16
Phase3,P3-01,Quality gates,"failed_submission_rules; research_actions", "Split IS, margin, weight, SU, turnover, self/product corr, stability and coverage", "P1-01; P0-04", "Medium: over-filtering", "Golden candidate fixtures with explainable reasons", "Keep old gate as advisory only", "NO"
Phase3,P3-02,Pyramid model,"pyramid_progress_matrix; alpha metadata", "Calculate region+delay+dataset category and 1-2 tower contribution", "P0-04; P3-01", "Medium: wrong category mapping", "Official-rule fixture including >2 tower case", "Mark unknown and exclude from count", "NO"
Phase3,P3-03,Diversity ledger,"field_operator_diversity_ledger", "Measure marginal field/operator/dataset/template coverage and correlation", "P0-04; P3-01", "Medium: proxy misuse", "Delta and duplicate fixtures", "Output advisory only", "NO"
Phase3,P3-04,VF proxy,"vf_proxy_review", "Produce proxy with explicit proxy_only marker; never claim real VF", "P3-03", "High: false forecast", "Contract tests reject real-VF labels", "Suppress proxy output", "NO"
Phase3,P3-05,Combined portfolio,"combined_portfolio_review; alpha_type_plan", "Estimate incremental portfolio impact and RA/ATOM/PPAC/SA plan", "P3-01; P3-02; P3-03", "Medium: composition bias", "Add/remove candidate replay", "Human review only", "NO"
Phase3,P3-06,Osmosis review,"osmosis_candidate_review", "Generate scope coverage and points recommendation without platform writes", "P0-04; P3-02", "High: unauthorized points", "Ensure no write-capable client in tests", "Delete only derived report; no platform mutation", "NO"
Phase3,P3-07,Manual submission view,"consultant_submission_candidate_review", "Show green status versus Consultant suitability and reasons", "P3-01 to P3-06", "Medium: accidental auto-submit", "UI/report contract test with submit disabled", "Disable view and retain data", "NO"
Phase4,P4-01,Limited live probe,"multi transport; live account", "Run approved 1x3 or 1x5 regular batch with full evidence", "P0 complete; P1/P2/P3 complete", "High: real billing/queue impact", "User-approved soak and live DB/platform reconciliation", "Immediate feature flag off and 3-slot recovery", "YES",COMPLETE_LIVE_1X5_1X10,"1x5 and 1x10 completed with 5/5 and 10/10 child imports; parent Locations and platform Alpha IDs retained",2026-07-16
