dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,annual_change_sga_expense_vs_sales_long_term,annual_change_sga_expense_vs_sales_long_term,"Difference between the yearly change in selling, general, and administrative expenses and the yearly change in sales, measured over a long-term horizon.",MATRIX,USA,TOP3000,1,0.8862,,,2026-07-16T15:20:39,possible_direction=unknown,administrative alpha annual_change_sga_expense_vs_sales_long_term between change decomposition difference expenses general horizon long measured model multi multi_horizon_alpha over possible_direction sales selling term unknown yearly
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,average_payable_period_long_horizon,average_payable_period_long_horizon,"Average time in days that accounts payable remain outstanding, calculated as a long-term metric.",MATRIX,USA,TOP3000,1,0.7631,,,2026-07-16T15:20:39,possible_direction=unknown,accounts alpha as average average_payable_period_long_horizon calculated days decomposition horizon long metric model multi multi_horizon_alpha outstanding payable possible_direction remain term that time unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,current_asset_composition_short_horizon,current_asset_composition_short_horizon,"Ratio of current assets to total assets from the most recent quarter, evaluated over a short-term horizon.",MATRIX,USA,TOP3000,1,0.8463,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha assets current current_asset_composition_short_horizon decomposition evaluated from fundamental horizon model most multi multi_horizon_alpha over possible_direction quarter ratio recent short term total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_abnormal_capital_investment,long_term_abnormal_capital_investment,"Change in recent 12-month capital investment intensity compared to prior 3-year average, over a long-term period.",MATRIX,USA,TOP3000,1,0.906,,,2026-07-16T15:20:39,possible_direction=unknown,12 alpha average capital change compared decomposition horizon intensity investment long long_term_abnormal_capital_investment model month multi multi_horizon_alpha over period possible_direction prior recent term unknown year
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_acquisition_multiple,long_term_acquisition_multiple,"Invested capital divided by trailing twelve-month EBITDA, measured over a long-term period.",MATRIX,USA,TOP3000,1,0.8271,,,2026-07-16T15:20:39,possible_direction=unknown,alpha by capital decomposition divided ebitda horizon invested long long_term_acquisition_multiple measured model month multi multi_horizon_alpha over period possible_direction term trailing twelve unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_acquisition_multiple_2,long_term_acquisition_multiple_2,"Most recent invested capital divided by trailing 12-month EBITDA, over a long-term period.",MATRIX,USA,TOP3000,1,0.8275,,,2026-07-16T15:20:39,possible_direction=unknown,12 alpha by capital decomposition divided ebitda horizon invested long long_term_acquisition_multiple_2 model month most multi multi_horizon_alpha over period possible_direction recent term trailing unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_advertising_intensity,long_term_advertising_intensity,Long-horizon ratio of advertising expense to sales.,MATRIX,USA,TOP3000,1,0.8882,,,2026-07-16T15:20:39,possible_direction=unknown,advertising alpha decomposition expense horizon long long_term_advertising_intensity model multi multi_horizon_alpha possible_direction ratio sales unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_alert_rank_2,long_term_alert_rank_2,Long-term composite alert score highlighting persistent financial or operational warning signals.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,alert alpha composite decomposition financial highlighting horizon long long_term_alert_rank_2 model multi multi_horizon_alpha operational persistent possible_direction score signals term unknown warning
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_alert_rank_3,long_term_alert_rank_3,"Composite alert score indicating potential issues or opportunities, over a long-term period.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,alert alpha composite decomposition horizon indicating issues long long_term_alert_rank_3 model multi multi_horizon_alpha opportunities over period possible_direction potential score term unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_altman_z_score,long_term_altman_z_score,"Bankruptcy risk score using financial ratios, measured over a long horizon.",MATRIX,USA,TOP3000,1,0.8183,,,2026-07-16T15:20:39,possible_direction=unknown,alpha bankruptcy decomposition financial horizon long long_term_altman_z_score measured model multi multi_horizon_alpha over possible_direction ratios risk score unknown using
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_altman_z_score_2,long_term_altman_z_score_2,Long-term component of the Altman Z-score (financial distress risk),MATRIX,USA,TOP3000,1,0.7766,,,2026-07-16T15:20:39,possible_direction=unknown,alpha altman component decomposition distress financial horizon long long_term_altman_z_score_2 model multi multi_horizon_alpha possible_direction risk score term unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_analyst_coverage_count,long_term_analyst_coverage_count,"Long-term number of analysts providing earnings estimates, indicating research coverage.",MATRIX,USA,TOP3000,1,0.9668,,,2026-07-16T15:20:39,possible_direction=analyst,alpha analyst analysts coverage decomposition earnings estimates horizon indicating long long_term_analyst_coverage_count model multi multi_horizon_alpha number possible_direction providing research term
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_composition,long_term_asset_composition,"Total current assets divided by total assets from the most recent quarter, measured over a long horizon.",MATRIX,USA,TOP3000,1,0.8463,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha assets by current decomposition divided from fundamental horizon long long_term_asset_composition measured model most multi multi_horizon_alpha over possible_direction quarter recent total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_composition_ratio,long_term_asset_composition_ratio,"Long-term ratio of current assets to total assets, reflecting asset structure.",MATRIX,USA,TOP3000,1,0.7972,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha asset assets current decomposition fundamental horizon long long_term_asset_composition_ratio model multi multi_horizon_alpha possible_direction ratio reflecting structure term total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_quality_index,long_term_asset_quality_index,"Long-term asset quality index, measuring changes in asset composition and risk.",MATRIX,USA,TOP3000,1,0.7791,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha asset changes composition decomposition fundamental horizon index long long_term_asset_quality_index measuring model multi multi_horizon_alpha possible_direction quality risk term
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_turnover_change_rank,long_term_asset_turnover_change_rank,Long-horizon rank of the one-year change in asset turnover (TTM sales to total assets).,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha asset assets change decomposition fundamental horizon long long_term_asset_turnover_change_rank model multi multi_horizon_alpha one possible_direction rank sales total ttm turnover year
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_turnover_ratio,long_term_asset_turnover_ratio,Long-horizon asset turnover ratio (sales divided by total assets),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha asset assets by decomposition divided fundamental horizon long long_term_asset_turnover_ratio model multi multi_horizon_alpha possible_direction ratio sales total turnover
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_asset_turnover_ratio1,long_term_asset_turnover_ratio1,Long-term horizon component of asset turnover (sales divided by total assets),MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha asset assets by component decomposition divided fundamental horizon long long_term_asset_turnover_ratio1 model multi multi_horizon_alpha possible_direction sales term total turnover
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_atm_call_option_volatility_2,long_term_atm_call_option_volatility_2,Implied volatility of at-the-money call options averaged over a long-term period.,MATRIX,USA,TOP3000,1,0.9268,,,2026-07-16T15:20:39,possible_direction=unknown,alpha at averaged call decomposition horizon implied long long_term_atm_call_option_volatility_2 model money multi multi_horizon_alpha options over period possible_direction term unknown volatility
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_atm_call_option_volatility_3,long_term_atm_call_option_volatility_3,Long-term horizon component of at-the-money call option implied volatility,MATRIX,USA,TOP3000,1,0.96,,,2026-07-16T15:20:39,possible_direction=unknown,alpha at call component decomposition horizon implied long long_term_atm_call_option_volatility_3 model money multi multi_horizon_alpha option possible_direction term unknown volatility
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_atm_put_option_volatility_2,long_term_atm_put_option_volatility_2,Long-term horizon component of at-the-money put option implied volatility,MATRIX,USA,TOP3000,1,0.928,,,2026-07-16T15:20:39,possible_direction=unknown,alpha at component decomposition horizon implied long long_term_atm_put_option_volatility_2 model money multi multi_horizon_alpha option possible_direction put term unknown volatility
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_attention_span_ratio,long_term_attention_span_ratio,"Ratio of operating assets minus operating liabilities to lagged total assets, measured over a long horizon.",MATRIX,USA,TOP3000,1,0.935,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha assets decomposition fundamental horizon lagged liabilities long long_term_attention_span_ratio measured minus model multi multi_horizon_alpha operating over possible_direction ratio total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_attention_span_ratio1,long_term_attention_span_ratio1,"Ratio of operating assets minus operating liabilities to lagged total assets, long-term calculation.",MATRIX,USA,TOP3000,1,0.9347,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha assets calculation decomposition fundamental horizon lagged liabilities long long_term_attention_span_ratio1 minus model multi multi_horizon_alpha operating possible_direction ratio term total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_average_analyst_rating,long_term_average_analyst_rating,Average analyst rating for a stock over a long-term period.,MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=analyst,alpha analyst average decomposition horizon long long_term_average_analyst_rating model multi multi_horizon_alpha over period possible_direction rating stock term
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_average_collection_period,long_term_average_collection_period,"Average accounts receivable times 365 divided by trailing twelve-month sales, long-term view.",MATRIX,USA,TOP3000,1,0.894,,,2026-07-16T15:20:39,possible_direction=unknown,365 accounts alpha average by decomposition divided horizon long long_term_average_collection_period model month multi multi_horizon_alpha possible_direction receivable sales term times trailing twelve unknown view
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_average_payable_period,long_term_average_payable_period,Long-horizon average accounts payable times 365 divided by trailing 12-month cost of goods sold.,MATRIX,USA,TOP3000,1,0.7628,,,2026-07-16T15:20:39,possible_direction=unknown,12 365 accounts alpha average by cost decomposition divided goods horizon long long_term_average_payable_period model month multi multi_horizon_alpha payable possible_direction sold times trailing unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_basic_defensive_interval,long_term_basic_defensive_interval,Long-term number of days a company can cover operating expenses using only cash and receivables.,MATRIX,USA,TOP3000,1,0.8488,,,2026-07-16T15:20:39,possible_direction=unknown,alpha can cash company cover days decomposition expenses horizon long long_term_basic_defensive_interval model multi multi_horizon_alpha number only operating possible_direction receivables term unknown using
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_beta_sigma_product,long_term_beta_sigma_product,"Long-term product of market beta and return volatility, indicating combined risk exposure.",MATRIX,USA,TOP3000,1,0.7739,,,2026-07-16T15:20:39,possible_direction=unknown,alpha beta combined decomposition exposure horizon indicating long long_term_beta_sigma_product market model multi multi_horizon_alpha possible_direction product return risk term unknown volatility
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_bid_ask_spread_to_price_2,long_term_bid_ask_spread_to_price_2,20-day average bid-ask spread percentage,MATRIX,USA,TOP3000,1,0.9813,,,2026-07-16T15:20:39,possible_direction=unknown,20 alpha ask average bid day decomposition horizon long_term_bid_ask_spread_to_price_2 model multi multi_horizon_alpha percentage possible_direction spread unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_book_leverage_2,long_term_book_leverage_2,"Book leverage, calculated as total assets divided by book equity, over a long-term period.",MATRIX,USA,TOP3000,1,0.9772,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha as assets book by calculated decomposition divided equity fundamental horizon leverage long long_term_book_leverage_2 model multi multi_horizon_alpha over period possible_direction term total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_book_to_market,long_term_book_to_market,"Book value per share divided by month-end trading price, measured over a long horizon.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,alpha book by decomposition divided end horizon long long_term_book_to_market measured model month multi multi_horizon_alpha over per possible_direction price share trading unknown value
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_book_to_market_ratio,long_term_book_to_market_ratio,"Book value per share divided by share price, measured over a long-term period.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,alpha book by decomposition divided horizon long long_term_book_to_market_ratio measured model multi multi_horizon_alpha over per period possible_direction price share term unknown value
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capex_to_assets_ratio,long_term_capex_to_assets_ratio,"Capital expenditures over trailing twelve months divided by total assets, long-term calculation.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha assets by calculation capital decomposition divided expenditures fundamental horizon long long_term_capex_to_assets_ratio model months multi multi_horizon_alpha over possible_direction term total trailing twelve
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capex_to_depreciation_rank,long_term_capex_to_depreciation_rank,Long-horizon rank of trailing twelve month capital expenditures divided by trailing twelve months depreciation.,MATRIX,USA,TOP3000,1,0.993,,,2026-07-16T15:20:39,possible_direction=unknown,alpha by capital decomposition depreciation divided expenditures horizon long long_term_capex_to_depreciation_rank model month months multi multi_horizon_alpha possible_direction rank trailing twelve unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capex_to_price_ratio,long_term_capex_to_price_ratio,"Trailing twelve-month capital expenditures per share divided by price, using a long-term window.",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=unknown,alpha by capital decomposition divided expenditures horizon long long_term_capex_to_price_ratio model month multi multi_horizon_alpha per possible_direction price share term trailing twelve unknown using window
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capex_to_sales_ratio,long_term_capex_to_sales_ratio,"Capital expenditures over trailing twelve months divided by sales, long-term calculation.",MATRIX,USA,TOP3000,1,0.9839,,,2026-07-16T15:20:39,possible_direction=unknown,alpha by calculation capital decomposition divided expenditures horizon long long_term_capex_to_sales_ratio model months multi multi_horizon_alpha over possible_direction sales term trailing twelve unknown
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capital_acquisition_ratio,long_term_capital_acquisition_ratio,"Operating cash flow less cash dividends divided by total expenditures over trailing twelve months, using a long-term window.",MATRIX,USA,TOP3000,1,0.9868,,,2026-07-16T15:20:39,possible_direction=fundamental,alpha by cash decomposition divided dividends expenditures flow fundamental horizon less long long_term_capital_acquisition_ratio model months multi multi_horizon_alpha operating over possible_direction term total trailing twelve using window
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capital_acquisition_ratio_2,long_term_capital_acquisition_ratio_2,"Long-term ratio of operating cash flow after dividends to total capital expenditures, measuring a firm's ability to finance investments internally.",MATRIX,USA,TOP3000,1,0.9865,,,2026-07-16T15:20:39,possible_direction=fundamental,ability after alpha capital cash decomposition dividends expenditures finance firm flow fundamental horizon internally investments long long_term_capital_acquisition_ratio_2 measuring model multi multi_horizon_alpha operating possible_direction ratio term total
multi_horizon_alpha,Multi Horizon Alpha Decomposition,Model,long_term_capital_distribution_to_price,long_term_capital_distribution_to_price,"Total capital distribution (dividends and stock repurchases/issuance per share) scaled by price, long-term average.",MATRIX,USA,TOP3000,1,0.9782,,,2026-07-16T15:20:39,possible_direction=event,alpha average by capital decomposition distribution dividends event horizon issuance long long_term_capital_distribution_to_price model multi multi_horizon_alpha per possible_direction price repurchases scaled share stock term total
