dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_delta_value,atm_call_option_delta_value,"The option Delta (rate of change of option price with respect to underlying) for at-the-money call options, D1 lagged, feature for Std2 index2",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,at atm_call_option_delta_value call change chart chart_model_alpha d1 deep delta feature index2 lagged learning money option options possible_direction predictor price rate respect returns std2 underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_delta_value_1,atm_call_option_delta_value_1,Delta sensitivity for at-the-money call option.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,at atm_call_option_delta_value_1 call chart chart_model_alpha deep delta learning money option possible_direction predictor price returns sensitivity volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_delta_value_2,atm_call_option_delta_value_2,"Delta Greek for at-the-money call options as-of T–1, showing sensitivity of option price to small changes in underlying stock price",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,as at atm_call_option_delta_value_2 call changes chart chart_model_alpha deep delta greek learning money option options possible_direction predictor price returns sensitivity showing small stock underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_estimated_forward,atm_call_option_estimated_forward,Projected price of underlying at call option expiration.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=analyst,analyst at atm_call_option_estimated_forward call chart chart_model_alpha deep expiration learning option possible_direction predictor price projected returns underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_estimated_forward_2,atm_call_option_estimated_forward_2,Projected price of underlying at call option expiration (alternate index).,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=analyst,alternate analyst at atm_call_option_estimated_forward_2 call chart chart_model_alpha deep expiration index learning option possible_direction predictor price projected returns underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_exercise_price,atm_call_option_exercise_price,Exercise price for at-the-money call options.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,at atm_call_option_exercise_price call chart chart_model_alpha deep exercise learning money options possible_direction predictor price returns volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_forward_value,atm_call_option_forward_value,Projected price of the underlying asset at the call option's expiration.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=fundamental,asset at atm_call_option_forward_value call chart chart_model_alpha deep expiration fundamental learning option possible_direction predictor price projected returns underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_forward_value_2,atm_call_option_forward_value_2,Projected price of the underlying asset at the call option's expiration.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=fundamental,asset at atm_call_option_forward_value_2 call chart chart_model_alpha deep expiration fundamental learning option possible_direction predictor price projected returns underlying volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_gamma_factor,atm_call_option_gamma_factor,"As-of D1, Gamma (rate of change of Delta with respect to underlying price) of ATM call options for the stock, Std2 variant, model index0",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,as atm atm_call_option_gamma_factor call change chart chart_model_alpha d1 deep delta gamma index0 learning model options possible_direction predictor price rate respect returns std2 stock underlying variant volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_gamma_factor_2,atm_call_option_gamma_factor_2,"As-of D1, engineered feature for the option-implied Gamma Greek of at-the-money call options within the ATM standard variant and model index2",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,as at atm atm_call_option_gamma_factor_2 call chart chart_model_alpha d1 deep engineered feature gamma greek implied index2 learning model money option options possible_direction predictor price returns standard variant volume within
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_gamma_rate,atm_call_option_gamma_rate,"The option Gamma (rate of change of Delta with respect to underlying price) for at-the-money call options, D1 lagged, used as a feature for Std2 index2",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,as at atm_call_option_gamma_rate call change chart chart_model_alpha d1 deep delta feature gamma index2 lagged learning money option options possible_direction predictor price rate respect returns std2 underlying used volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_gamma_value,atm_call_option_gamma_value,Gamma sensitivity for at-the-money call option.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,at atm_call_option_gamma_value call chart chart_model_alpha deep gamma learning money option possible_direction predictor price returns sensitivity volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_gamma_value_2,atm_call_option_gamma_value_2,"Gamma Greek for at-the-money call options as-of T–1, indicating the rate of change of delta relative to the stock price",MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,as at atm_call_option_gamma_value_2 call change chart chart_model_alpha deep delta gamma greek indicating learning money options possible_direction predictor price rate relative returns stock volume
chart_model_alpha,Deep Learning Chart Returns Predictor,Price Volume,atm_call_option_premium_amount,atm_call_option_premium_amount,Premium paid for at-the-money call option contract.,MATRIX,USA,TOP3000,1,0.9612,,,2026-07-16T15:20:39,possible_direction=volume,at atm_call_option_premium_amount call chart chart_model_alpha contract deep learning money option paid possible_direction predictor premium price returns volume
