dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
search_interest,Rapid Search Interest Signals,Other,relative_interest_score,relative_interest_score,The Google Trends popularity score for the search term on the given date,VECTOR,USA,TOP3000,1,0.9148,,,2026-07-16T15:20:39,possible_direction=unknown,date given google interest other popularity possible_direction rapid relative_interest_score score search search_interest signals term trends unknown
search_interest,Rapid Search Interest Signals,Other,relative_interest_score_2,relative_interest_score_2,Standardized unbounded search interest score indicating the popularity of the search term,VECTOR,USA,TOP3000,1,0.6497,,,2026-07-16T15:20:39,possible_direction=unknown,indicating interest other popularity possible_direction rapid relative_interest_score_2 score search search_interest signals standardized term unbounded unknown
search_interest,Rapid Search Interest Signals,Other,relative_interest_score_3_fast_d1,relative_interest_score_3_fast_d1,Unbounded standardized search interest score normalized for comparability,VECTOR,USA,TOP3000,1,0.9354,,,2026-07-16T15:20:39,possible_direction=unknown,comparability interest normalized other possible_direction rapid relative_interest_score_3_fast_d1 score search search_interest signals standardized unbounded unknown
search_interest,Rapid Search Interest Signals,Other,relative_interest_score_4,relative_interest_score_4,"Standardized, unbounded search interest score for the term on that date, comparable across time and terms",VECTOR,USA,TOP3000,1,0.9329,,,2026-07-16T15:20:39,possible_direction=unknown,across comparable date interest other possible_direction rapid relative_interest_score_4 score search search_interest signals standardized term terms that time unbounded unknown
search_interest,Rapid Search Interest Signals,Other,relative_interest_score_5,relative_interest_score_5,"Standardized, unbounded search interest score for the term on the given date",VECTOR,USA,TOP3000,1,0.641,,,2026-07-16T15:20:39,possible_direction=unknown,date given interest other possible_direction rapid relative_interest_score_5 score search search_interest signals standardized term unbounded unknown
search_interest,Rapid Search Interest Signals,Other,trend_confidence_overlap_months,trend_confidence_overlap_months,Confidence score of the guess computed over a multi-month overlap window,VECTOR,USA,TOP3000,1,0.9148,,,2026-07-16T15:20:39,possible_direction=unknown,computed confidence guess interest month multi other over overlap possible_direction rapid score search search_interest signals trend_confidence_overlap_months unknown window
search_interest,Rapid Search Interest Signals,Other,trend_confidence_overlap_months_2_fast_d1,trend_confidence_overlap_months_2_fast_d1,Number of overlapping months used to calibrate the confidence score,VECTOR,USA,TOP3000,1,0.9354,,,2026-07-16T15:20:39,possible_direction=unknown,calibrate confidence interest months number other overlapping possible_direction rapid score search search_interest signals trend_confidence_overlap_months_2_fast_d1 unknown used
search_interest,Rapid Search Interest Signals,Other,trend_confidence_overlap_months_3,trend_confidence_overlap_months_3,the confident of our guessing over months,VECTOR,USA,TOP3000,1,0.641,,,2026-07-16T15:20:39,possible_direction=unknown,confident guessing interest months other our over possible_direction rapid search search_interest signals trend_confidence_overlap_months_3 unknown
search_interest,Rapid Search Interest Signals,Other,trend_estimation_confidence_score,trend_estimation_confidence_score,Confidence score of the automated guess linking the search term to the target company/topic,VECTOR,USA,TOP3000,1,0.9148,,,2026-07-16T15:20:39,possible_direction=unknown,automated company confidence guess interest linking other possible_direction rapid score search search_interest signals target term topic trend_estimation_confidence_score unknown
search_interest,Rapid Search Interest Signals,Other,trend_estimation_confidence_score_2_fast_d1,trend_estimation_confidence_score_2_fast_d1,Confidence estimate for the nowcast value (higher means more reliable),VECTOR,USA,TOP3000,1,0.9354,,,2026-07-16T15:20:39,possible_direction=analyst,analyst confidence estimate higher interest means more nowcast other possible_direction rapid reliable search search_interest signals trend_estimation_confidence_score_2_fast_d1 value
search_interest,Rapid Search Interest Signals,Other,trend_estimation_confidence_score_3,trend_estimation_confidence_score_3,Confidence score indicating reliability of the nowcasted search interest value; higher means more reliable,VECTOR,USA,TOP3000,1,0.641,,,2026-07-16T15:20:39,possible_direction=fundamental,confidence fundamental higher indicating interest means more nowcasted other possible_direction rapid reliability reliable score search search_interest signals trend_estimation_confidence_score_3 value
