dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
ai_news_scores,AI News Sentiment Scores,Other,negative_score_average_value,negative_score_average_value,"Mean negative sentiment score across events for a stock-day in USA (variant prv24, D0), scores in 0–1",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,across ai ai_news_scores d0 day events mean negative negative_score_average_value news other possible_direction prv24 score scores sentiment stock usa variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_average_value_2,negative_score_average_value_2,"Mean negative sentiment score for ASI, variant prv2, D1 (per-stock daily; scores in [0,1])",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai ai_news_scores asi d1 daily mean negative negative_score_average_value_2 news other per possible_direction prv2 score scores sentiment stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_average_value_3,negative_score_average_value_3,"Per-stock daily mean negative sentiment score from RavenPack press releases for EUR, model variant prv23, same-day (D0); scores normalized 0–1",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai ai_news_scores d0 daily day eur from mean model negative negative_score_average_value_3 news normalized other per possible_direction press prv23 ravenpack releases same score scores sentiment stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_average_value_4,negative_score_average_value_4,"Mean negative sentiment score for ASI, series variant prv22, D0; average of per-event negative scores for the stock-day (0–1 scale)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai ai_news_scores asi average d0 day event mean negative negative_score_average_value_4 news other per possible_direction prv22 scale score scores sentiment series stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_average_value_5,negative_score_average_value_5,"Mean negative sentiment score for USA, series variant prv25, D0 (same-day) offset",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,ai ai_news_scores d0 day mean negative negative_score_average_value_5 news offset other possible_direction prv25 same score scores sentiment series usa variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_confidence_lower_bound,negative_score_confidence_lower_bound,"Lower 95% confidence bound for the mean negative sentiment score for a stock-day in USA (variant prv24, D0), scores in 0–1",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 ai ai_news_scores bound confidence d0 day lower mean negative negative_score_confidence_lower_bound news other possible_direction prv24 score scores sentiment stock usa variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_confidence_lower_bound_2,negative_score_confidence_lower_bound_2,"Lower 95% confidence bound for the mean negative sentiment score for ASI, variant prv2, D1 (per-stock daily; scores in [0,1])",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 ai ai_news_scores asi bound confidence d1 daily lower mean negative negative_score_confidence_lower_bound_2 news other per possible_direction prv2 score scores sentiment stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_confidence_lower_bound_3,negative_score_confidence_lower_bound_3,"Per-stock daily 95% confidence lower bound for negative sentiment mean from RavenPack press releases for EUR, model variant prv23, same-day (D0)",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 ai ai_news_scores bound confidence d0 daily day eur from lower mean model negative negative_score_confidence_lower_bound_3 news other per possible_direction press prv23 ravenpack releases same scores sentiment stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_confidence_lower_bound_4,negative_score_confidence_lower_bound_4,"Lower 95% confidence bound for the mean negative sentiment score for ASI, variant prv22, D0 on the stock-day",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 ai ai_news_scores asi bound confidence d0 day lower mean negative negative_score_confidence_lower_bound_4 news other possible_direction prv22 score scores sentiment stock variant
ai_news_scores,AI News Sentiment Scores,Other,negative_score_confidence_lower_bound_5,negative_score_confidence_lower_bound_5,"Lower 95% confidence bound for the negative sentiment score for USA, series variant prv25, D0 offset",MATRIX,USA,TOP3000,1,1.0,,,2026-07-16T15:20:39,possible_direction=sentiment,95 ai ai_news_scores bound confidence d0 lower negative negative_score_confidence_lower_bound_5 news offset other possible_direction prv25 score scores sentiment series usa variant
