dataset_id,dataset_name,dataset_category,field_id,field_name,description,field_type,region,universe,delay,coverage,user_permission,permission_level,last_seen,notes,keywords
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile1_120d_pred,analyst_quantile1_120d_pred,Analyst-based prediction for the top quantile of 120-day forward returns.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,120 analyst analyst_quantile1_120d_pred based day forward market model multi multi_source_model possible_direction prediction quantile return returns source top
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile1_60d_pred,analyst_quantile1_60d_pred,Analyst-based prediction for the top quantile of 60-day forward returns.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,60 analyst analyst_quantile1_60d_pred based day forward market model multi multi_source_model possible_direction prediction quantile return returns source top
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile5_120d_pred,analyst_quantile5_120d_pred,Analyst-based prediction for the 5th quantile of 120-day forward returns.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,120 5th analyst analyst_quantile5_120d_pred based day forward market model multi multi_source_model possible_direction prediction quantile return returns source
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile5_60d_pred,analyst_quantile5_60d_pred,Analyst-based prediction for the 5th quantile of 60-day forward returns.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,5th 60 analyst analyst_quantile5_60d_pred based day forward market model multi multi_source_model possible_direction prediction quantile return returns source
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile5_confidence_120d_pred,analyst_quantile5_confidence_120d_pred,Model confidence score for the 5th quantile of 120-day analyst-based return prediction.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,120 5th analyst analyst_quantile5_confidence_120d_pred based confidence day market model multi multi_source_model possible_direction prediction quantile return score source
multi_source_model,Multi-Source Market Return Prediction,Model,analyst_quantile5_confidence_60d_pred,analyst_quantile5_confidence_60d_pred,Model confidence score for the 5th quantile of 60-day analyst-based return prediction.,MATRIX,USA,TOP3000,1,0.9802,,,2026-07-16T15:20:39,possible_direction=analyst,5th 60 analyst analyst_quantile5_confidence_60d_pred based confidence day market model multi multi_source_model possible_direction prediction quantile return score source
multi_source_model,Multi-Source Market Return Prediction,Model,event_embedding_quantile2_60d_pred,event_embedding_quantile2_60d_pred,60-day forward return prediction for the 2nd quantile using event embedding features.,MATRIX,USA,TOP3000,1,0.9828,,,2026-07-16T15:20:39,possible_direction=event,2nd 60 day embedding event event_embedding_quantile2_60d_pred features forward market model multi multi_source_model possible_direction prediction quantile return source using
multi_source_model,Multi-Source Market Return Prediction,Model,event_embedding_quantile2_confidence_60d_pred,event_embedding_quantile2_confidence_60d_pred,Model confidence score for the 2nd quantile of 60-day event embedding-based return prediction.,MATRIX,USA,TOP3000,1,0.9828,,,2026-07-16T15:20:39,possible_direction=event,2nd 60 based confidence day embedding event event_embedding_quantile2_confidence_60d_pred market model multi multi_source_model possible_direction prediction quantile return score source
multi_source_model,Multi-Source Market Return Prediction,Model,fundamental_quantile1_120d_pred,fundamental_quantile1_120d_pred,120-day forward return prediction for the top quantile using fundamental data.,MATRIX,USA,TOP3000,1,0.8006,,,2026-07-16T15:20:39,possible_direction=fundamental,120 data day forward fundamental fundamental_quantile1_120d_pred market model multi multi_source_model possible_direction prediction quantile return source top using
multi_source_model,Multi-Source Market Return Prediction,Model,fundamental_quantile1_60d_pred,fundamental_quantile1_60d_pred,60-day forward return prediction for the top quantile using fundamental data.,MATRIX,USA,TOP3000,1,0.8006,,,2026-07-16T15:20:39,possible_direction=fundamental,60 data day forward fundamental fundamental_quantile1_60d_pred market model multi multi_source_model possible_direction prediction quantile return source top using
